,DISCREPANCY
4326,blue tail rotor boot has holes          
8008,remove red mrh blade fold harness. reinstall when notified by mainteance control.
4659,main rotor head hydraulic fluid low          
7132,red tail tip cap rivet head broken.
2460,original:  2o8cl4d.  grease pack nose landing gear wheel bearings iaw sss 054d          
2552,lh nose tire worn out of limits          
23720,install tail rotor pitch beam and pcl's due to removal for inboard retention plate 9-13 torque check.          
7261,low mrh accumulator.
19923,tail indexer grinds when driven out. (mrh blade fold inop. mrh does not auto fold or auto spread)          
15786,mrh accum low          
16774,abnormal vibrations experienced when attempting to taxi forward.  vibrations start when the tip path is moved from flat to forward with minimal collective.  virbrations abate as soon as collective is lowered and rotor disk is level.          
183,"rh nose tire worn out of limits in accordance with 04-10-506, which requires it to be removed and replaced as a matching set with the lh nose tire.          "
2331,erosion strip delaminating on blue tr blade card abcd 13.8          
1709,main rotor inflight vibration levels out of limits          
3006,card 47.1- mrh fluid level and pressure low.          
21220,broken bonding jumper on black pcl.          
14951,tail rotor indexer hardware worn ool.          
27072,main rotor head hyd side low.
6118,main rotor head fluid low
931,worn rivet yellow tair rotor blade tip cap.          
1959,all mlg and nlg tire pressures low          
20768,yellow blade fold spring washer mount bolt torque stripe broken.          
8601,main rotor head low          
4875,lh nlg tire is worn.
5092,blue and yellow main rotor blade hinge inserts worn.
8261,blue main rotor head damper inboard bearing worn ool.
4688,lh nose tire cut measured beyond acceptable limitations
24814, install mrb tip cap as a match set for admin puroses only. refer to jcn q50072a06 for mrb replacement.          
28028,install red main rotor pitch control rod.
24081,black main rotor head damper leaking. part no: 70106-28000-048          
24701,red tail rotor paddle abrassion strip missing.
4980,gap between tail slipring rotor and stator is out of limits.
13997,red main rotor head e-bearing gouged card d-120          
18092,mrh low          
4417,rh nlg tire diameter not within 1/4 inch of lh nlg tire          
8724,bifilar weight washer lost during installation refer to mcn: 1n86uu0
19462,remove black mrb tip cap for pmi induction          
5877,yellow tail rotor boot has a small hole          
4318,lh nose landing gear tire worn beyond limitations          
16688,main rotor head accumulator low          
18158,tail rotor track and balance out of limits          
9473,fwd scissor upper bolt washer worn.          
7447,"black mrb bim indicator has black stripes visible, card 64.1 mrc-350          "
1775,wow switch no. 2 posts f(p) *** troubleshot down to an internal failure on no. 2 wow switch***
19428,mrh anti-flap shims worn. mrc-400 card 120.          
4940,found nlg piston tube assy bushing worn.
9192,red blade lower centering socket loose          
10464,yellow elastomeric bearing centering ring gouged ool card 120.1          
3162,yellow blade flod motor failed half way throught folding blades.          
19552,mrh accumulator low.          
20484,main rotor head accumulator hydraulic side low          
7734,perform mrh rig check
21508,main rotor head low. discovered bad hydraulic gage manifold after troubleshooting.
21758,"apply supplemental polyurethane strips to yellow, blue and red tail blades.          "
552,all lower centering sockets are loose.          
850,rh nose tire worn          
12569,black mrh blade de-ice harness bracket broken.          
18333,tail rotor yellow blade boot hole          
11451,red and yellow tail rotor boots are torn. mrc ac 70.3          
13654,hole in black tail rotor boot          
18206,black blade detent stack up washers are cracked.          
5156,perform black mrb pretrack adjustment.
8925,perform ground vibrations due to 30 day  no fly.          
14779,hole discovered in boot on red tail rotor paddle          
4309,tail rotor boot zipties worn. card ac-70.3          
2061,incorrect washer stacks on blade de-ice distributer mount bolts          
10443,several tip cap screws worn. card bd-95
103,all lower centering socket plate assy have rubber strip worn beyond limits          
22414,main rotor vibes out of limits
3282,hydraulic leak coming from parking brake transfer valve module.          
27786,install tail rotor outboard retention plate.
13372,lower red centering socket loose          
26351,install red damper.          
11983,abcd 17 blue blade corroded out of limits. tip block has extensive exfoliation corrosion. needs to be replaced
18027,perform 3 degree tail bias          
909,install black main rotor blade w/d/b/m/c.          
2751,lh inboard and outboard mlg tire pressures low          
27236,remove yellow main rotor blade tip cap.
16748,"found scoring on outer race of black main rotor spindle elastomeric bearing, measured out of race dimension at 0.007 between 3/9 position and 12/6 position, limit is 0.005.          "
187,lh nlg tire worn out of limits.
2157,temporarily utilize blade fold control panel in aircraft 772. remove blade fold conrol panel w/n/b/m/c          
6170,yellow tail rotor blade leading edge nicked.          
3045,left hand inboard and outboard main landing gear tire pressures low          
785,mrh accumulator ntb serviced          
27103,pom bim indicator
285,rh nlg tire worn beyond limits.          
27413,install yellow tail rotor pitch control link
9671,"fold limit switch on yellow harness crushed, auto fold still operable, need to replace harness.          "
740,red bifilar tapered washers worn out of limits. card abcd-23.2          
22981,"main rotor vibes are out of limits at hover, 140, and vh.          "
3054,nose landing gear left and right tire presssures low          
3652,rnlg tire not within 1/4 inch of lnlg.          
4302,black pitch lock assy seized
26219,yellow blade spar pressure indicates 5.50 psi at 65 degrees farenheit. minimum psi required when checking installed blade at 65 degrees is 8.75. **third discrepancy on yellow blade with bim indicating black in 182 flight hours**          
17644,main rotor  accumulator fluid level is low.          
22217,r/r lower pcr's to facilitate 546 day bridge maintenance w/n/b/m/c
3155,lh ib mlg tire is worn          
2328,left hand inboard main landing gear tire is worn beyond limits
9053,tail rotor indexer bent
11256,red tail rotor boot hole          
20582,mrh accum hyd low
20326,main rotor head accumulator hydraulic fluid level low.          
5312,scir change:  26xiu8d.  black lower centering socket has light surface corrosion.
2645,lh nose landing gear tire is worn past limits
25356,top two rotor brake handle bolts missing. refer to mcn 249vxzk jcn b20162390 for fod search.          
18999,perform tail ground vibes iaw vib-200.          
7242,crack in blue fold hinge gear assembly bearing
5725,disconnect tb-10. reconnect w/n/b/m/c
4522,landing gear emergency blow down bottle under serviced.          
10038,aft expandable pin worn          
1329,yellow damper inboard and outboard bearings worn ool          
13330,perform axial fan vibration analysis for removal and re instalation #1 drive shaft iaw a1-h60rs-vib-200.          
17257,main rotor head accumulator hydraulic fluid low.          
811,outboard retention plate bolt between blue/yellow gouged ool          
20264,main rotor head blue blade pitch lock motor loose.
25094,mrh ool          
12976,tail rotor boot missing zip tie.
24155,mrh low          
2355,left hand nose landing gear tire tread worn          
11253,mrh in-flight vibs ool at 140 and vh
17050,mrh accumulator low          
21431,hole in blue tail paddle boot
1036,lh  nose landing gear tires worn          
3548,auto rotation out of limits plus 3 out.          
6215,main rotor head accumulator fluid side on white line between red and green.          
2128,mrh accumulator reads red.
16280,aft bladefold transducer out of limits.
27224,mrh accum in the red
8613,"upon attempting to connect bf motor, wiring did not have enough slack to connect motor to harness. upon further inspection, found blue blade fold motor wiring to be routed incorrectly. instead of being routed from the motor directly out of the hole, wirin"
14916,mrh red inboard damper bolt failed 9-13 stabilization torque check.          
7897,fwd scissor side to side play ool
25722,mrh accumulator fluid low.          
5071,minor surface corrosion found on right hand iinboard main landing gear brake bleeder valve. dd20191213
22010,hole in black tail rotor boot.          
17792,remove tail rotor pitch beam to facilitate removal of tail rotor servo for jcn: q20010101. reinstall when directed by maintenance control. refer to jcn: q20045431 mcn: 2ln3 wvt for 9-13 hour torque checks on all tail rotor pcl otbd attaching hardare 9-13h
4672,"rh mlg tire assy flat, bead broken on rim          "
17762,perform ground vibes - tail balancing and pylon sig due to flight control cable replacement and tail rig.          
4044,"left pilot brakes soft, requires numerous pump up"
20119,main rotor head vibes out of limits          
2564,parts maf; needs nose tire to replinish pull-stock. (rh)          
19726,admin install yellow blade tip cap due to removal and replacement of main rotor blade.
13121,red blade cuff to spar bolt on the underside of the blade is corroded. ccdd:18218          
4922,dd20191223 lh ib brake hardware has minor surface corrosion
20910,black hinge lock cam follower ceased card ac-62          
15756,hydraulic leakage on blue blade damper piston rod. mrc-300. card 24.4          
11382,scir change:  00jcf43.  original:  16pkzn6.  corrosion on tail rotor striker. ccdd: 12feb2018          
3934,fwd and aft swashplate scissor spherical bearings gouged. card: abcd-23-5 step-7.          
17094,mrh low          
641,mrh scissor spherical bearings worn out of limits.  abcd-23.4          
15761,main rotor head accum in the red. card 47.1          
18904,blade fold hinge bracket bolt sheared.
19669,main rotor head accumulator low.          
27339,remove and replace component nomenclature mrb tip cap assy;  part no: 70150-09207-042;  serno: b849-13853;  pos cd: black **replace #6 screw**
9734,small hole in blue tail rotor boot.
24537,blue inboard damper bearing worn ool.
19295,bracket on yellow pitch horn is loose.          
1769,lh nlg tire has cut that measures beyond acceptable limits          
2413,mrh low.
4526,mrh hyds low
14939,swashplate is grinding when flight controls are moved up          
11138,hole in yellow tail rotor boot.
27062,worn blue droop stop.          
10757,"while in a coupled hover at 70' with the dome in the water, both pilots felt a vibration on the floor boards for approximately 2-3 seconds.  it felt as if a component was banging against another component. winds were off the front of the aircraft and thec"
1497,tail vibes ool          
5258,mrh accm low
26926,main rotor head accumulator hydraulic servicing low
5595,cut in blue tail rotor boot.
12178,tail vibes ool.          
17200,leak coming from yellow damper qd.          
8820,main rotor head vibrations out of limits          
3929,auto blade fold inop. blade fold fails to find null position. can fold blades with blade fold test set.          
3787,scir change:  00jcjrv.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04898;  pos cd: yellow dd: a1108          
10630,remove main rotor accumulator to facilitate the replacement of main gear box. reinstall w/d/b/m/c.          
25444,gouge in upper bushing on yellow damper bracket.          
20346,aft scissor assy on mrh has play          
14235,red inboard damper bearing worn out of limits.
3443,"lh inboard main landing gear, rh and lh nose landing gear, and both rh main landing gear tire pressures low."
9102,mrh ool.
22723,the mrh hyd accumulator reads red          
18109,fwd and aft scissors have vertical play          
20599,mrh low.
22127,abnormal vibrations felt in forward flight.          
6554,blue tail rotor paddle boot has a hole.
23901,black paddle boot has small hole inboard          
24849,in flight vibes are ool
8174,blue hinge inserts at 6 and 4 o'clock pos. ool
15177,remove outboard retention plate to fom. re-install when notified by maintenance control.          
4748,lh nose landing gear tire worn out of limits.          
22470,mrh accumulator reads red
25227,perform tail rotor bias due to pmi. make check flight if adjustments are made.          
3337,lh ob mlg tire needs replaced as a matched set due to uneven wear upon replacement of new inb tire          
14147,black tail rotor boot ool.          
2297,step 47.1 the mrh  accum is at 1300 psi the hyds are low.          
14261,inbd and outbd yellow damper bearings ool. card b101.1          
27455,remove red main rotor blade tip cap for level ii preservation.
21433,main rotor head low          
13281,mrh nitrogen level low          
19717,perform final ground          
16883,tail rotor vibe out of limit.          
1423,remove blue blade blade for pmi induction          
982,rh ob tire has a leak          
23984,outboard retention plate inner surface of pilot bushing worn beyond limits.
2673,rh drag strut actuator ser no. bec-769 falls in range of suspect ser. no for bad drag strut actuators. bec-543-bec-848. fst supplied supporting documentation.          
4980,original:  1gfd5j3.  order pneumatic reservoir 901-380-501-103 due to hi-time
4905,main rotor accumulator hyd side in the red          
4750,red damper inboard and outboard bearings ool.
5558,no spread light. verified all lockpin status.          
674,steering actuator out of range switch f(p) on sys stat w/ associated nosewhl steer fail caution.  ssgt healy trouble shot prior to eng start to clear.  upon engaging nws for taxi caution returned w/ same associted wra f(p).  fixed by engaging nose lock an
7384,blue spindle pitch horn gouge. (abcd card: 23)
15337,remove accumilator. reinstall when directed by maintenance control.          
3670,lh and rh nlg and mlg tires are low          
16765,black mrh accumulator line ruptured          
210,blue pcl jamnut lockring installed incorrectly.          
5403,mrh inflights ool          
559,blue lwr pcr rod end inner member face gouged ool.          
21103,perform tail rotor balance vibration analysis due to removal and re-placement of red tail rotor tip cap.          
2220,lh nlg tire worn beyond limits.          
2508,"emergency landing gear blow down bottle showing low on the gage per the ambient environemntal conditions, requires servicing.          "
3752,scir change:  1p1nkjs.  rh mlg shock strut has chipped paint dd20180528          
12145,remove red tip cap.          
3698,landing gear control sol control valve fcc3 f(p).          
26572,mrh accumulator on hydraulic side gage is beyond second green.          
530,mrh hyd level in the red.
1742,the main rotor head hydraulic fluid level is low. the line is between red and low green.          
7845,crack on the black tail blade tip cap
13824,mrh in red
11438,pcr bolts missing torque stripe          
10666,d/a low *needs full bleed & servicing due to broken safety wire and no holes in female half qd on yellow damper*.          
27389,accumulator line connecting to yellow damper ruptured.
26321,mrh yellow lower centering socket has play          
4273,7lb3 strut has movement
3933,main rotor head ool          
2421,left nose tire measures greater than 1/4 i.n. difference from outside diameter of new right nose tire. change as matched set          
10711,main rotor  out of limits.          
1680,tail rotor outboard retention plate corroded and gouge out of limit.          
27297,received elastomeric bearing with an expired cure date refer to jcn: b03248a10
1706,aft scissor assy upper link worn out of limits          
4134,lh nose landing gear tire worn beyond limitations.          
6009,small hole on yellow  tr paddle boot          
5968,deice distributor gasket worn beyond use.          
17323,mrh inflight vibe is out          
10570,original:  46siikj.  auto blade fold inop. blade fold fails to find null position. can fold blades with blade fold test set.          
13976,yellow hinge fold stop worn. d-121          
122,remove blade fold harness to facilitate the removal and replacement of blue elastometric bearing teflon re-install when notified by maintenance control
10901,main rotor head needs to be serviced.          
883,mrh accumulator low and in the red
18054,black spindle outboard damper lug measurement ool.          
8579,tail rotor blade positioning actuator (tail indexer) does not retract.
26298,forward spherical bearing failed radial play measurements limit is .013 and measured at .014. card abcd-23.4          
2571,mrh accumulator bleed plug packing worn.
17177,install main rotor head assembly          
10702,mrh accumlator hydraulic gage leaking.          
14260,main rotor head in-flight vibs ool.          
14583,card abcd-23.6 black upper pcr nut worn          
17814,perform ground vibes due to 30 days no fly          
4409,mrh accumulator low.
10628,black spindle lockpin securing hardware worn.
20933,mrh hyd level red
3725,"right hand nose landing gear tire has a cut that is 5/32"" deep. exceeds limitations of 4/32""."
19137,install tip cap (admin) for match set w/n/b/m/c.          
27906,pbr nut corroded.
17621,tr ool          
1010,nose landing gear shock strut under serviced          
23399,fwd scissor has side to side play on upper and lower link          
4491,rh ob brake assembly piston does not have enough clearance.
17725,yellow tail rudder abrassion strip worn and delaminated.          
8716,main rotor head pressuer low.
17882,rotor blade holding pressure at 30 psi. *** correction rotor brake holding pressure at 30 psi***          
24112,black damper ool.          
5378,red tail rotor blade tip cap rivets are worn and corroded.
7903,main rotor head vibrations out of limits.          
3968,rh wow switch no2 f(p) on fcc2.          
1546,all 4 tail rotor blade tip caps have working and worn rivets abcd-13.8          
27498,fwd scissors assembly found worn during imp inspection.
13377,mrh vibes ool          
20279,perform main rotor head rig check.
211,scir change:  2rq7sff.  rh mlg outboard dust cover hardware has minor surface corrosion dd 20190620
946,rh nlg tire has multiple deep cuts. will not need to be changed as a match set          
230,scir change:  2rq7p1b.  minor surface corrosion on rh main landing gear hardware dd:12 mar 2019          
18086,main rotor head accumulator low          
1048,main rotor head accumulator in the red          
14603,main rotor head low          
27428,tail rotor bias out of limits
18326,fom blue blade for blue blade fold motor removal and replacment
3538,"bifilar assembly between red and blue hub, top left bushing cracked. cracked is on top portion facing aft.          "
17886,blue spindle lockpin cover cracked.          
1814,lh outboard mlg tire worn beyond limits per navair 04-10-506
3774,all mlg tires underserviced.          
14529,final ground ool          
23861,play in forward scissors.          
3122,black bim indicator bad.          
22621,perform post phase ground vibes. ref: a1-h60ca-mrc-400 card # abcd- 30
7641,main rotor head blue droop stop pops out during shutdown.
16955,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-03848;  pos cd: yellow          
18508,main rotor head accumulator fluid level low. red          
10939,mrh accumulator low.          
2483,mrh hyd pressure low
10538,black tail rotor dust boot worn.          
856,insert failed torque check on blue blade in 10 o'clock position.          
8862,"black damper h/w worn due to verifying torques on red/black mr damper h/w on mcn 00jdcse and jcn qg0178338,  refer to mcn 00jdcte and jcn qg0178377 for new rebased 9-13's.          "
1077,mrh low          
23109,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-01110;  pos cd: blue when due: a1756.7          
2833,original:  2x3wwfz.  rh mlg down and lock switch f(p) on download and never reset          
1451,scir change:  1p1of9b.  right hand outboard main landing gear tire is balding
16596,while doing 14 day special found that the yellow blade fold limit switch wheel was not present. everything else was intact. the rest of the area was fod free and secure. refer to fod search mcn:00jg373
14989,mrh accumulator hyd side low          
15853,torque stripe worn on blue spindle hinge lock arm bolt. mrc-300 card 25.3          
7596,loose zip ties on boot of black tail blade.
22111,black tail rotor boot ziptie loose. plastic bridge missing. refer to mcn: 1zzr6fl for fod search.          
13579,main rotor head low          
9219,mrh accum low
17269,tail rotor black blade boot cut          
14462,tr ool          
3890,rh nlg tire worn beyond limits.
5363,aft scissor spherical bearing axial play ool          
13254,main rotor head accumulator hydraulic fluid low.          
675,red tail rotor blade damage
4926,remove and replace component nomenclature pneumatic reservoir module;  part no: 901-380-501-103;  serno: 456
14458,main rotor head aft scissor assy upper link bushings worn out of limits.
4121,lh nlg tire worn          
915,rh mlg low pressure gauge has hyd fluid in sight glass.          
26583,red tip cap has hole on aft trailing edge.          
20401,mrh accumulator low
24966,perform ground vibrations due to tgb  level 1 exceedance.
1832,original:  1oo0jdp.  rh mlg down and lock switch f(p) on download and never reset          
9892,black mrb damper qd safety wire broken          
4917,red blade pitch lock actuator gasket worn
51,pneumatic reservoir will not hold pressure***update***landing gear control valve module does not reset
15755,perform ground vibes iaw vib-200.          
2117,safety wire on yellow blade centering socket loose.          
1586,red and black blade spar bolts have bare metal. refer to jcn:q70267493 mcn:1gti3fp for conditional inspection.          
6238,mrh accum hyd fluid low          
1376,rh ib mlg tire worn behond limits
1278,left hand main landing gear outboard tire and right hand main landing gear inboard tire pressures low.
994,blue tail paddle abrasion strip delaminating.
8440,mrh grounds ool
18926,corrosion on crown on tail rotor.          
27552,install blue main rotor blade.
720,right hand outboard main landing gear tire worn beyound limits.          
5957,red lockpin puller lockplate flange broken card d-120          
10311,main rotor head autorotation out of limits.
4473,received bad accumulator from supply. top of accumulator has worn ring.          
15619,found working rivets on tail rotor tip cap. card abcd-13.9          
3373,rh outboard mlg tire worn past limitations.          
11980,yellow tail rotor boot seal torn .          
3696,remove blue main rotor blade than reinstall to facilite b/f motor r/r.          
3827,install yellow main rotor blade tip cap assembly as directed by maintenance control          
22187,main rotor head accumulator torques on flexible coupling loose.          
17136,hole in tail rotor boot blue blade          
25087,install fwd scissor assy for administration purposes          
3271,service rotor head to second green for anti flap shimming
2954,mrh accumulator low          
19620,mrh low see mcn 26xi8wj for conditional inspection.  hours since last service:  5.0.          
7854,blue inboard damper bearing failed check.
3771,yellow outboard damper bearing worn out of limits.
3831,rh nlg tire worn past limits.          
23053,upper and lower black spindle centering socket worn. card d-119          
20761,mrh damper low green-red          
5410,red main rotor blade cuff bolts corrode. ccdd07jan19.          
8823,red centering socket loose          
3876,nose wheel power steering module leaking
10962,"main rotor head accumulator hydraulic fluid level in very low 1st green, requires servicing. mrc-100"
1476,rh nlg tire worn. out of limitations.          
4966,red blade bim indicator showing black stripes.
3195,lh nose tire changed due to rh tire change.
4926,admin install red/yellow tail rotor blade due to maf error.
788,nose landing gear tire pressures low          
5727,perform tail rotor 3 degree bias          
15155,breakaway torque on all four scissor spherical bearing retainer bolts failed. abcd-23.5          
1702,lh outboard main landing gear tire has flat spot out of limits.          
13532,blue blade fold harness 'b' switch crushed.          
10869,"blue main rotor head elasto worn out of limits. ""can not seat elasto on fixture do to warpage""          "
4031,rh mlg shock strut low pressure shrader valve bent.          
2592,fwd scissor spherical bearing out of limits.          
21278,low mrh accum.          
20586,red upper lockpin play out of limits
17862,blue spindle lockpin plastic cover is cracked.          
17793,install blue main rotor tip cap for ooma purposes          
23389,yellow hinge spacer packing worn. card d-121          
1912,rh inboard mlg found worn beyond limits          
5443,mrh pressure level low.          
12002,tail rotor vibrations out of limits.          
6212,main rotor red damper failed 9-13 torque check third attempt. refer to mcn 1h09235.          
13420,mrh accum low.          
20543,main rotor head hydraulic accumulator servicing low. no conditional inspection required
3734,tail rotor black blade chippedby the abrasionstrip          
848,tire pressures low          
9351,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-02012g;  pos cd: blue
21736,remove da beenie fom for of da bleed and service rwn          
10455,main rotor head fluid low          
268,remove yellow pitch lock harness to facilitate removal of yellow damper bracket.          
15401,"red, blue, black, and yellow mrb tip cap upper and lower #6 screw worn.card bd-95          "
1061,check rh and lh main landing gear and nose landing gear tire pressures and service as required          
14776,forward scissor lower link bearings bad. mrc-400 card 23.5.          
1731,rh nlg tire worn past limitations.
8266,black blade lock pin puller dog bone broken safety wire.
21114,worn hardware on yellow tip cap          
24995,tail vibes out of limits          
9247,perform tail rotor 3 degree bias when directed by maintenance control due to r&r of tail rotor flight control cable (mcn: 1n3omit / jcn: b00070496)          
21991,mrh accumulator low.          
21150,mainn rotor head vibes out of limits.          
810,remove yellow tip cap as matched set          
2665,the left hand inboard main landing gear tire is worn.
6381,blue hub arm centering sockets hardware worn ool. card: d-120          
12728,lower alfs to facilitate mrh accumulator line replacement. raise when directed by maintenance control.          
23518,aft lower link scissor bolt worn(abcd card 23.5)          
26022,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-00360;  pos cd: yellow
435,main rotor accumulator hydraullics low.          
26581,remove blue main rotor blade to facilitate removal and replacement of blue spindle.          
12389,tail rotor balance vibration out of limits.          
19706,yellow blade lower centering socket loose          
1258,original:  4dnpwjr.  nose landing gear hike selector valve is bent causing it to leak.
27313,install tail rotor outboard rentention plate.
22847,rfu blue droop stop to a/c 411 for fcf          
806,main rotor head accumulator low          
16354,remove red blade blade for pmi induction          
17956,mrh accum low.          
19118,forward scissor has up and down play.          
2688,rh nose tire worn beyond limitations and is cross-hatching.
17744,no flight indication during pre start checks.          
14627,chip on red blade anti flap.          
15771,bifilar assembly hardware worn.          
3320,perform leak check for #1 hyd pump qd's leaking. refer to mcn 00ccy10.          
21754,mrh low          
1610,tr boot torn on blue blade card ac 70.3          
17741,yellow elastomeric bearing new shim size requires size 18 bolt.          
15804,main rotor head ground vibrations ool          
2256,during inspection of hot brakes found signs of heat on l/h o/b brake assembly. now tire wheel assembly sn:xw-1195 needs to be sent to intermediate level maintenance activity for evaluation per (navair 04-10-506/to 4t-1-3)
10253,black mrh damper inboard bearing ool. found on phase d card 112.2
22259,blue spindle lockpin hardware worn
5107,black inboard damper bearing ool.
20106,perform tail vibes due to tail rotor cable adjustments. vibes required are tail rotor balancing and tail rotor pylon sigs.          
22267,yellow spindle lockpin hardware worn
26162,lower blue centering socket loose.          
4023,lh nlg tire worn beyond limits          
9845,outboard retention plate bushing worn ool.          
2316,tail paddle color no indicators.          
1527,"fom by removing obrp drive for tgb replacement, re-installed when new tgb installed or w/n/b/m/c. refer to mcn 00jc3ij for 9-13 flight hour torque check.          "
17687,yellow main rotor tip cap worn out of limits. bd-95          
27575,remove red blade for pmi. reinstall when notified by maint. control
7993,main rotor head accumulator hyd fluid low.
2070,right and left wow switch #1 f(p) after coming weight off wheels.          
27844,mr smoothing inflight vibs exceed limits in all regimes.
545,lh nose landing gear tire worn          
22354,blue anti-flap bolts corroded beyond limits. ref: a1-h60ca-mrc-400 card abcd-23
19256,main rotor damper accumulator hyd fluid low.          
5099,rh ib mlg disk brake bleeder valve is missing its retaining ring and chain. refer to 19-mfr-060
1815,red tail rotor boot torn          
1696,lh and rh nlg tire pressures are low          
15994,scissor bolts ool. abcd card 23.5          
19434,main rotor head accumulator is in the red          
1330,"nose landing gear up and lock switch 2 f(p). fault id/6889. fault condition/1020. 1/0100, 2/000a, 3/48eb, 4/0000, 5/0001, 6/8880."
23119,broken sealant on black damper elbow.          
4013,left hand inboard main landing gear tire worn beyond limit of 1/32 of an inch.          
18356,scir change:  1v4zu8h.  mild paint bubble noted on top surface of red main rotor blade next to tip cap sealant.
23147,tail pitch beam corr. ool          
12088,blue tail rotor boot is torn.          
470,found lh nlg tire worn beyond limitation.          
4456,blue tr boot torn
16507,main rotor head accumulator low.
17175,yellow droop stop heater and pin assembly has bent and recessed pin in cannon plug.          
2625,l/h inboard mlg tire worn beyond limits          
2976,lo outboard tire is flat          
8418,blue inboard damper bearing ool
27605,corroded hardware on red blade hinge pin castlenut ccdd 18dec19
9577,black mr droop stop cam worn ool.          
26791,mrh hydraulic servicing low. a1-h60ca-mrc-100 card 47.1
10531,3 degree bias ool
27409,red and yellow tail rotor tip caps have 2 worn rivets.
408,mrh accum hyds on red          
1571,main rotor head accumulator low          
678,rh mlg strut needs to be serviced to dimension x.          
2047,tail rotor vib ool
2545,during a/c spread blue blade fold motor siezed about 10 feet into spread turned master blade fold panel off let motor sit for about ten minutes then tried to auto spread blade finished spread once blade was fully spread all pitch locks drove out properly.
3273,safety wire on blue mrb damper bleed ports is incorrectly installed. will need replacement.
26633,mrh accum low          
3307,mrh accumulator in the red.          
3862,spread incomplete caution on deck.
20425,upper and lower centering sockets worn.
27681,remove red blade for pmi prep.
25731,blue centering socket is worn ool.          
16957,blue upper  rod end bearing cracked          
263,rh ib mlg tire is worn          
8655,yellow trb leading edge gouged beyond repair limits. limit is disbond beyond 1 square inch or larger.          
19090,mrh accumulator low.          
1313,tr pitch beam ool          
26760,blue droop stop worn          
18187,tip of tail rotor indexer broken. all pieces accounted for. part still installed on a/c.
5401,yellow blade attaching h/w lower two bolts improper safety wire; lose.
477,service lh main landing gear shock strut          
20595,mrh accumulator low          
23623,tail vibrations out of limits.          
13761,blue blade top lockpin puller safety wire is broken.          
9490,black centering socket has excessive play.          
21190,broken safety wire on all three blade fold transducer connectors in front of mrh bridge.          
24936,yellow tail rotor boot puntured.          
9312,black main rotor damper bearings worn. card 112.2
17012,yellow mrh droop stop worn out.
13876,red damper 9-13 torque check failed.          
15212,inboard red tail rotor zip tie is loose
22566,perform 3 degree bias check          
487,main rotor head accumulator line grommets worn          
16701,yellow blade fold harness needs to be installed and adjusted          
15719,mrh vibes out of limits          
1356,lh nlg tire worn beyond limits.
171,due to nose landing gear collapse ac requires new nlg shock strut fuse bolt.          
24587,blue droop stop worn
6004,mrh low          
10768,mrh accumulator fluid low.          
12064,main rotor head accumulator low.          
12184,small hole in red tail rotor boot          
1888,black tail rotor boot is torn          
892,main rotor head accumulator low          
5012,original:  2mf04ca.  original:  112iogg.  original:  2si8202.  scir change:  2si80ll.  original:  2mez523.  r mlg ob wheel has corroded split rim nuts
11019,yellow inboard damper bearing worn ool.          
18724,red damper inboard bearing failed 30 hour inspection.          
6200,mrh accum low          
11109,tail rotor vibe out of limit.
22151,main rotor head accumulator fluid low.          
26060,black tail rotor paddle has deep scratch ccdd 19248
19021,broken torque stripe on black pcl.          
1594,all 6 tire pressures are low          
26842,3 degree bias ool
25559,5 inch hole in yellow tail rotor boot.          
17763,red tail rotor dust boot torn.          
7614,mrh fwd scissor lower bolt worn.          
5965,red hinge gear cracked.          
21427,red blade fold harness switches not adjusted.          
1887,lh and rh nlg tire pressures low.          
22054,worn centering socket plug
15085,main rotor head blue damper outboard bearing is worn out of limits.          
15127,black blade damper qd safety wired incorectly          
4507,blue lower centering socket loose.          
20693,hole in blue tail rotor boot. card 11.12          
2604,nose landing gear lockpin sheared during hard landing
19771,remove fwd scissors for use on 765.          
15003,main rotor head accumulator hydraulic servicing low          
8218,red tail rotor boot ool
21957,mian rotor head accumulator fluid low.          
20499,blue fold hinge failed insert checks. failed inserts are marked with black x.
26178,red elasto bearing outer race worn out of limits.
2888,left outboard mlg brake pistons clearance checks failed.          
1150,blue damper outboard bearing ool.          
12068,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-04809;  pos cd: blue          
9643,perform main rotor rig check due to 546 day          
14086,perfrom ground tail vibes iaw vib-200          
4215,scir change:  4dnq0mc.  wow disagree          
1728,remove and replaced r/h nose landing gear tire as a match set with the l/h nose tire.
864,lh mlg shock strut servicing out of limits          
52,black hinge bolt has excessive gouges.
10233,ac-70.1 tail rotor pitch beam  nut set screw worn
7873,hyd low on mrh accumulator
1969,blue tail rotor boot has pinhole.          
16152,mrh accumulator hydraulic pressure low.
10796,yellow blade fold motor moves when folded and spread.          
16850,black blade top centering socket has lateral play.          
13158,remove blue main rotor blade tfom. re-install w/d/b/m/c          
24233,yellow hnge detent bolt tq stripe broken.          
13900,remove main rotor head distributor cap for accumulator replacement. reinstall when notified by maintenance control.          
