,CORRECTIVE ACTION
797,admin intalled main rotor blade tip cap assy as match set due to replacement of main rotor blade. area secured and fod free.
1357,"removed and replaced lh nlg tire iaw sss 3240. ataf, apaf, aff."
27887,
21721,removed and replaced damper quick disconnect on yellow damper iaw 150-300. area secure and of free. pema 27569.  
19437,all parts recieved refer to mcn 46s105r for installation and shimming of the anti flap stop iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  
5066,"removed and replaced pneumatic reservoir module iaw sss3231. apaf,ataf,aff used pema 13784."
20585,inspected yellow lower centering socket iaw 150-300. verified torque at 50 in lbs and installed safety wire. area fod free and secure at time of inspection.
22472,"serviced mrh iaw the gai-000. fluid level high green, nitrogen 1600 psi, oat 19c. ac hour 3478.6. area secured and fod free."
23350,removed yellow blade blade for pmi induction iaw 150-300. area secure and fod check complete.  
11407,serviced main rotor head damper accumulator iaw: a1-h60ra-gai-000. serviced with hsu 275 navy class 0. hydraulic side in the high green and nitrogen side at 1600 psi. oat: 28 degrees celsius. area secure and fod free at time of inspection. a/c time now:28
5121,removed and replaced spindle lower lockpin bearing upper  iaw 150-300 area is clean and fod free pema 6fksa75965
8844,removed and reinstalled yellow blade due to blade fold motor replacement iaw 150-300. area secure and fod free at time of inspection.
3029,work order closed out due to transfer new mcn: 1mpm9qa  
7894,"installed black mrb tip cap iaw 150-300. pema s/n:6cksa67596. area clean, secure and fod free."
25264,removed and replaced red spindle iaw 150-300. area fod free and secure during time of inspection.  
14043,"removed blue, black and red hinge weight block hardware and installed washers on bolts iaw a1-h60ra-150-300. torqued and safteywired iaw 150-300. area fod free and secure at time of inspection. ***correction maf should be 12, b***  "
1592,"removed and replaced red damper hardware iaw 150-300, red damper was removed and repalced under mcn 2ln3kb8 , 9-13's will be performed under mcn: 2ln3lcv. area was secure and fod free at time of inspection.  "
15368,removed and replaced black spindle iaw: a1-h60ra-150-300. area is clean and fod free. pema s/n: 2828. fcf s/n: 00-18-006. action taken should be: r-removal and install.  
18278,removed and replaced aft scissor assembly iaw 150-300. area secured and fod free. refer to mcn: 1v4z67c for scissor install.  
16689,recieved parts.
422,removed and replaced rh mlg low pressure gauge iaw sss 3210. ataf apaf aff  
1137,repaired yellow tail rotor boot iaw srm-000. area secure and fod free. pema 6cksa67629  
13988,replaced blue tail rotor blade boot due to rip in boot. replaced iaw 150-300 area secure and fod free. refer to mcn: 102ic8l for 9-13 tq checks .  
16919,"serviced mrh accumulator iaw gai-000. checks good at low high green, 1400 psi, 14 degrees celcius, with a/c hours at 2085.9. area secure and fod free upon completion of maintenance.  "
16664,"installed red main rotor blade tip cap and screws iaw 150-300. primed and painted tip cap screws iaw na-01-1a-509.  area clean and fod free. pema s/n 6cksa67620.  refer to mcn: 00cfsdq, jcn: by0-177-349 for 9-13 retq of mount screws."
943,replaced rh ib mlg tire iaw 3240 ataf apaf aff  
1069,removed and replaced mrh swashplate iaw a1-h60ra-150-300. area is clean and fod free. utilized pema s/n: 44409.  
23294,removed and reinstalled tail rotor paddles for inboard retention plate torque checks. refer to jcn: by0184543 for 3 degree bias. area secure and fod free. pema 6fksa76012.    
18759,removed and replaced fwd scissor iaw 150-300. area fod free and secure. ataf.  
16260,removed and replaced lower blade lockpin assy iaw 150-300. area fod free and secure at time of inspection.  
15145,performed main rotor ground vibes iaw vib-200. all checks good iaw vib-200 and imds ground station. area is secure and fod free.  
708,"removed and replaced aft scissor assembly, and shimmed within limits iaw 150-300. area secure and fod free at time of inspection.  "
1452,"added 35 oz to yellow blade, adjusted yellow pcr up 5.0 and black pcr down 6.0 iaw vib-200 and imds recommendations. refer to mcn 1h095dx for in-flight vibes. area secure and fod free.  "
22122,serviced mrh to upper green and 1500 psi at 10 c degree iaw gai-000. wab s/n 251 and hsu s/n 204 it navy class is 0. area secure and fod free.  
21752,removed and re-installed main rotor distributor cap iaw 410-300. checks good for security iaw 410-300. utilized torque wrench sn: 041602626. area fod free and secure at time of inspection.  
2103,rh ob mlg tire received for pool stock replenishment.  
13352,refer to mcn: 1lt0icu jcn:bl0115b00 for removal and replacement of all four main rotor damper hose assemblies.  
4221,inspected lh inboard mlg tire iaw sss 3240. ataf.apaf.aff. tire cut is 1/32' limit is 4/32'.
378,removed and replaced nlg drag strut act iaw sss 3220. ataf apaf aff pema 2505  
24982,removed and replaced tail rotor indexer iaw 150-300. system checks good iaw 150-200. area checks fod free and secure at time of inspection.  
599,serviced emergency bottle iaw sss 3231 ataf apaf aff.
9605,verified torque on black blade mounting bolts iaw 150-300. torque check good. re-safety wired black main rotor blade iaw 150-300. area secure and fod free. pema s/n: 6fksa76289.  
1414,serviced pneumatic reservoir iaw ietm sss 1210 ataf apaf aff  
25249,verified torque and reapplied tq stripe iaw 150-300. no movement noted. pema: 6cksa67629. area secure and fod free.  
14696,sealed yellow tail rotor boot hole iaw srm-000. area fod free and secured.  
5774,added 52 grams of weight to quadrant 1 and 60 grams of weight to quadrant 2 in accordance with a1-h60rs-vib-200. all checks good. area fod free and secure at the time of inspection.  
683,"performed tail rotor bias check iaw 140-300. all tr blades are within limits.  the tr bias measurements are as follows: yellow blade 2.9, black blade 3.1, red blade 3.0, blue blade 3.0. area clean and fod free. ataf.  "
21055,removed and replaced black upper pcr rod end bearing iaw a1-h60ra-150-300. area checked fod free and secure.
26110,removed and replaced yellow lower centering socket iaw reference: 150-300 wp 004. area secure and fod free at time of inspection.  
25372,verified side to side play on forward scissor iaw 150-300. play is within limits. max limit is .008. area secure and fod free. pema 6fksa67301  
25104,"serviced mrh accumulator to 1500psi and yellow iaw a1-h60ra-gai-000. area clean and fod free. ambient temp: 22 degrees celcius, a/c hours: 342.4  "
1397,"replaced rh mlg door strut iaw sss 3210. ataf, apaf, aff.  "
23903,applied sealing compound on blue tail rotor boot paddle. iaw srm-000. area secured and fod free at time of inspection.  
19485,"parts received, ref to 546 day mcn: 2e4ftl6 for installation. no further action required  "
21119,inspected blakc tail paddle iaw srm-000. gouage is a scatch in paint and within limits. no futher action required. area secure and fod free. pema 6fksa75973  
16011,removed and replaced fwd main rotor swashplate scissor bearing iaw a1-h60ra-150-300. area is fod free and secure. ***maf should reflect trans code 12 with action taken code b. parts need to be indexed***  
15586,inspected red anti-flap gouge iaw 150-300. gouge is within limits. checks good. area secure and fod check complete. ataf.  
14268,serviced mrh fluid iaw a1-h60ra-gai-000. nit side: 1600. hyd side: yellow. oat: 27 celcius. aircraft flight hours: 3100.3. all checks good. area secure and fod free at time of completion.
12807,"serviced main rotor head accumulatorin accordance with a1-h60ra-gai-000. hydraulic side: at yellow nitrogen side:1500 oat:28c a/c hours: 2356.6. pema 9290. area is clean, secure and free of fod.  "
13016,reshimmed red upper centering socket iaw 150-300. area secure and fod free.
23144,performed main rotor head functional checks iaw 150-200. op checks good.  refer to mcn: 1wdarrp for automatic blade fold discrepancy.  area fod free and secure.  
287,removed and replaced rh nose tire assy iaw sss 3240. used pema 76594 . ataf apaf aff  
16176,service mrh accumulator to low high green with mil-prf-83282 hyd and 1400 psi niotrogen iaw reference a1-h60ra-gai-000. a/c time 1006.7 hrs and temp is 12 c. area fod free and secure at time of completion.  
13840,inspected fwd sissor play iaw 150-300. movement within limits. area fod free. all secure. pema s/n: 6fksa76012.  
26462,removed and replaced component nomenclature main rotor head damper assy iaw 150-300. area fod free and secure. refer to mcn 46sj5je for damper bleed and service.  
6880,serviced mrh accumulator iaw gai-000. hyd side: low green. nitrogen side: 1350psi. oat: 20¿c. aircraft hours: 2821.9. all checks good. area secure and fod free.
24314,removed and replaced forward scissor right upper link inner bearing iaw a1-h60ra-150-300. area secured and fod free at time of completion.  
4201,remove and replaced landing gear control unit iaw ietms sss 3230. pema 8741. cameo version 1.3.10 refer to mcn 2si8qnk jcn sn1061a05 for op-check and jacking and  cycle.  
25687,removed and replaced blue pitch control rod upper rod end key lock iaw a1-h60ra-150-300. area secured and fod free. tq wrench sn: 1218112832. tq checks good. clamp up check good.
2585,repaired black tail rotor boot iaw a1-h60ra-srm-000.  area secure and fod free.  
18119,made the following adjustments to tail rotor iaw vib-200 and imds ground station recommendations.  added 111 grams to quadrant 3.  area secure and fod free.  
14198,removed and replaced fold hinge gear iaw 150-300. area secure and fod free. pema s/n: 6cksa67610.  
5096,repaired blue main rotor blade near tip cap area iaw srm-000. area secure and fod check complete.  
16350,serviced mrh accumulator using hsu 309 navy class 0 iaw a1-h60ra-gai-000. nitrogen is at 1600 psi with hydraulics in the bottom of the high green. oat is 28 degrees celcius. all checks good. area secure and fod free at time of inspection. refer to mcn: 27
16720,removed and replaced lateral expandable pin iaw 140-300.  area secure and fod free.  
20254,removed and replaced upper number 6 tipcap screw on yellow mrb iaw 150-300. area fod free and secure.  
10295,"inspected and verified accumulator within limits. iaw gai-000. hyd level on low green, nitrogen pressure 1500 psi, and oat 12 degrees celcius. area secure and fod free at the time of completion."
16544,"removed and replaced red damper inboard/outboard rod end bearings iaw a1-h60ra-150-300. area is clean, secure, and fod free. pema s/n:6fksa76277. ***trans code should be 12***"
21794,serviced mrh accumulator to second green 1300psi iaw a1-h60ra-gai-000. oat: 20 degrees celcius. current flight hours: 4203.6hrs. area secure and fod free.  
15769,removed and replace pitch lock actuator iaw 150-300. op checks 4.0 iaw 150-200. area secure and fod free.  
9966,"serviced main rotor head accumulator to yellow hyd side and 1500 psi nitrogen side iaw a1-h60ra-gai-000. oat is 16 degrees celcius, a/c time now 2854.4. area fod free and secure.  "
4610,removed and replaced lh nose landing gear tire iaw sss 3240 pema 2233. ataf apaf aff  
15855,"inspected fwd mrh scissor play, play measured at .006 limit is .033 checks good iaw 150-300, completed fod check and area secure at time of inspection.  "
5450,inspected aft scissors iaw a1-h60ra-150-300. up and down scissor play measured as follows; aft ''0.009'' with a limit of ''0.033.'' all checks good. area secure and fod free. pema 6fksa76012.  
3417,performed torque check upper pressure plate and all torques pass. torque stripe is not req on bolts iaw 150-300. area clean and fod free. ataf.  
27841,
22371,inspected blue mrb for crack near hub iaw srm-000 crack was in the paint only not in the actual blade surface material. checks good area fod free and secure at time of inspection. used pema 120-4
2692,removed and replaced rh ib mlg brake assy iaw sss 3240. apaf ataf aff.  
5514,"adjusted all main rotor head pcr's down 40 clicks iaw: vib-200. refer to mcn: 00jg640, jcn: qg0310064 for 9-13 tq checks on all pcrs. area secured and fod free at time of inspection. used pema 2."
2366,"reseated connector on #1 nose landing gear up and lock switch. system op checks good. ataf, apaf, aff.  "
10474,adjusted all tail rotor pitch control links to obtain a 3.0 degree tail rotor bias iaw a1-h60ra-140-300 wp 005 00.  area fod free and secure.
18245,removed and replaced safety wire iaw 01-1a-505. area fod free and secure at time of inspection.
25321,removed and replaced black hinge spacer iaw 150-300 card d-121. area fod free and secured.  
21919,"remoeved and replaced fwd and aft spherical bearing iaw 150-300. area secure and fod free.****12,b****"
4685,lh outboard mlg tire removed and replaced iaw sss: 3240 used pema 2064. ataf apaf aff.  
25432,shimmed centering socket iaw a1-h60ra-150-300. area fod free and secure. pema s/n: 8074.  
8309,mrh accumulator is within limits iaw gai-000. no further maintenance required. area clean and clear of fod and corrosion. pema s/n 6cksa67548.
12134,"verified torque stripe worn, re-applied torque stripe on lower blue pitch control rod iaw a1-h60ra-150-300. area secure. fod checks complete.  "
6078,replaced yellow damper qd iaw 150-300. serviced mrh accummulator iaw gai-000. hyd side: 1st green; nitrogen: 1400psi. ambient temperature: 7 degrees celsius. a/c time now: 1739.9. refer to excess leakage of damper conditional mcn-1n3ojnb / jcn- b00016169.
2371,"serviced mrh accumulator to high green at 1400psi iaw gai-000. a/c time is now: 2505.4, oats: 11c. all checks good, area fod free and secure.  "
303,"serviced mrh accumulator iaw gai-000. serviced to second green. nitrogen 1625. oat 28 c. current aircraft flight hours 2159.7 area secure, corrosion and fod free. pema sn: 6fksa75973  "
21046,"removed and replaced yellow damper iaw 150-300.  refer to mcn: 00cda9q, jcn: by0100084 for bleed and service of mrh accumulator.  pema 6fksa75973 area secure and fod free.  "
7008,removed 71 grams from quadrant 2 and removed 33 grams from quadrant 3 ; installed 54 grams in quadrant 4 iaw a1-h60rs-vib-200 and imds ground station. area is secure and free of fod.
20605,adjusted yellow pcr up 2 clicks and adjusted black pcr up 11 clicks iaw vib-200. area secure and fod free. pema: 7901.
19378,perfromed tail rotor rig iaw 140-300. port cable tension set to 160 lbs. starboard cable tension set to 160 lbs. ambient temperature 81 degrees fahreinheit. checks 4.0. area secure and fod free. pema s/n: 6fksa76035.
7708,"refer to mcn: 2ln4j8w jcn: q20278338 for corrective action. maf eoc code should not be ""k"", blades can be folded with blade fold test set."
11789,added 63 grams to quad 1 and 98 grams to quad 2 iaw: vib-200.  area clean and fod free.  
24154,"serviced main rotor head accumulator iaw gai-000. hyd side: second green,  nitr side:1500,  oat: 30c, a/c hours: 2,037.3 pema used 27978. area secure and fod free.  "
18897,removed and replaced forward swashplate scissor lower link bolt iaw 150-300.  area secure and fod free.  pema s/n: 6cksa67956.
20965,refer to mcn: 1wdah4s for corrective action. area secure and fod free.  
12313,removed and replaced aft spherical bearing iaw a1-h60ra-150-300. all torque checks good. cotter pin installed. area fod free and secure at time of inspection. ataf.  
27055,adjusted all 4 pcrs +4 clicks iaw a1-h60rs-vib-200. area secure and fod free. pema s/n: 3255
26269,removed and replaced yellow main rotor damper iaw 150-300. area secure and fod free. refer to jcn: by0114475 for 9-13's and jcn: by0115068 for full bleed of damper system. pema sn: 67609  
27679,"performed full bleed and service on mrh accum iaw gai-000. using hsu sn:210(navy class 0) and nan4 sn pzn046. hyd: high green, nitrogen: 1600 psi oat 27c. time now: 1831.2 , a/c time now: 1831.2. area secure and fod free. refer to jcn:q40254184 for condit"
22500,performed post phase d and mgb change ground vibration analysis iaw a1-h60rs-vib-200. all ground vibration analysis within limits. area seucre and fod free .pema s/n 6647  
27452,
14319,"removed light surface corrosion, cleaned, prepped, primed and painted pitch beam retaining nut and washer iaw na-01-1a-509. area clean and fod free.  turned parts over to w/c 110.  "
16780,installed red tail rotor paddle erosion strip iaw srm-000. area secure and fod free at time of inspection.
6382,"removed corrosion on blue mr cuff bolts, cleaned, treated, and preserved with aerosol (320) iaw: a1-h60ra-mrc-390. all checks good. area fod free and secure at time of completion."
3048,reseated connector 3230gc5p1 to landing gear remote pressure switch iaw ietms sss 3230. system op check good. ataf apaf aff  
5097,removed and replaced yellow elastomeric bearing iaw 150-300. area secured and fod free.
431,added 226 gms on quadrant 2 and 105 gms on quadrant 3 iaw: a1-h60rs-vib-200. area secure and fod free. pema s/n: 76762.  
14157,"serviced mrh to the yellow at 1200psi with the oat 12 degrees celcius,flight hours are 2377.00 hours iaw gai-000. area clean secure and fod free. pema 8787.  "
15160,retorqued inboard and outboard blue damper mounting nuts to 146 ft lbs iaw 150-300. checks good. refer to mcn: 00jdgk2 for 9-13 torque checks. area secure and fod free at time of inspection.  
11321,added 27 oz. to the red blade and 46 oz. to the black blade on the main rotor head iaw a1-h60rs-vib-200. area is clean and fod free. pema 76762  
2920,removed and replaced rh nose tire iaw sss 3240 pema used 02002 apaf ataf aff  
20056,adjusted all four pcr's -24 clicks (6%) iaw vibe-200. adjust blue pcr +2 clicks and  yellow pcr -1 click iaw vibe-200. area secure and fod free.  
5053,replaced lh ib tire iaw sss 3240. ataf. apaf. aff. pema 7333.
2916,removed and replaced rh mlg maintainer strut iaw sss3210. ataf. apaf. aff.  
15802,"yellow blade droop stop removed and new part replaced iaw: 150-300, used pema 110-4. area fod free and secure at time of inspection.  "
41,removed and replaced lh nlg tire iw sss 3240  
25619,adjusted black and yellow trb to 3.0 degrees iaw 140-300. all checks good. area secure and fod free at time of inspection.  
3811,serviced nlg shock strut iaw sss 1210. ataf. apaf. aff. used pema 67332  
13757,"all blue lockpin parts received. refer to phase ""d"" mcn: 26xj7y9 jcn: qy0063a00 for installation."
26087,removed and replaced worn pitch beam nut setscrews iaw a1-h60ra-150-300. area is secure and fod free. pema 6791  
12445,removed and replaced elastomeric bearing on yellow spindle assembly iaw 150-300. area secure and fod free at time of inspection.  
19452,removed and replaced #2 tail rotor paddle in accordance with a1-h60ra-150-300.  area is secure and fod free.  portable electronic maintenance assistant serial number: 4atya82239. ***correction trans code should be 16***  
6465,removed and replaced yellow pitch lock reduction gear housing iaw a1-h60ra-150-300. system op checks good iaw a1-h60ra-150-200. area is secured and free of fod. pema 6647.  
18930,removed and replaced foward scissor link iaw 150-300. area is clean and fod free. pema s/n: 7iksa26000.
23646,sealed yellow tail rotor boot torn iaw a1-h60ra-srm-000. area fod free and secure. pema s/n: 8111.  
11725,removed and replaced black t/r blade erosion strip iaw a1-h60ra-srm-000. area cleaned and fod free. ietms05966  
1362,replaced rh nose tire/wheel assembly iaw sss 3240. used pema 02382. ataf apaf aff.  
25071,applied sealant around blue tail rotor blade abrasion strip iaw srm-000. area secure and fod-free.
17389,torque strip on red blade e bearing to main rotor hub is not required iaw a1-h6ra-150-300 wp 007. area is secure and fod free  
5633,removed and re-installed black main rotor blade iaw 150-300. area fod free and secure at time of inspection.  
16457,inspected fwd scissor side to side play iaw 150-300. play measured .004. play within limits. limit is .015. all checks good. area secure and fod free.
3572,serviced pneumatic reservoir iaw sss 1210 using pema 99989 ataf apaf aff.
14093,"performed full bleed and service iaw gai-000. hyd: yellow, n2 pressure:1650psi and oat 21 deg cel. a/c hrs: 2060.7. all servicing checks good iaw gai-000 at current temp. refer to mcn:00jdovc for beenie reinstallation, area fod free and secure.  "
767,"adjusted main rotor head pcr yellow -1, black +8, trim tab yellow -4, weight red 48oz, black 79oz iaw vib-200. area secure and fod free.  "
4247,"cannibalized (buno: 168015 mcn: 2si8rjc) removed and replaced landing gear control unit iaw ietm sss: 3230. sys-op check good. pema: 2727, cameo vsn: 1.3.10, ietm date: 15mar2019, erac: 1520. area fod free.  "
16251,removed and replaced red blade fold harness iaw a1-h60ra-150-300. op checks good iaw a1-h60ra-150-200. area secure and fod free at time of inspection.  
2697,serviced main rotor head accumulator iaw gai-000. hyd: yellow nitr:1500 oat: 15. area secure and fod free. pema s/n: 7978.  aircraft flight hours: 1896.8.  
24750,replaced red tail rotor blade abrasion strip iaw srm-000. area fod free and secure.  
2898,"serviced mrh accumulator iaw gai-000. hyd at low high green, nitrogen at 1500 psi, and oat at 14 degrees celsius. a/c flight hours at 3,540.1. checks good. area secure and fod free.  "
20464,removed and replaced worn red blade fold hinge cover assy iaw 150-300 and abcd card 23.1 area fod free and secure.
1626,rh mlg grounding wire is making contact with deck
23888,adjusted black tail rotor boot zip ties iaw 150-300. area secure and fod free. pema s/n: 6fksa67509.  
2392,replaced lh nlg tire iaw sss 3240. ataf apaf aff  
28044,"adjusted all mrh pcr adjustment by pos 16 clicks red, pos 22 clicks blue, pos 18 clicks yellow, pos 18 clicks black, all iaw a1-h60rs-vib-200 and a1-h60ra-150-300. area secure and fod free at time of inspection. refer to jcn: q40263426 for corrective acti"
23237,serviced main rotor head iaw  gai-000 to 1500 psi/yellow at 32 degrees celcius with hfsu s/n:305. area clean secure and fod free at time of inspection.
17056,outboard mrh blue blad tip cap removed and replaced iaw 150-300. area secure and fod check complete. refer to jcn:qg00124192 mcn:00jd0gk for 9-13 tip cap torque check.  
26626,maf not needed  
2394,"could not recreate descrepancy on ground, landing gear functioned properly and closed within limitations.  ataf apaf aff pema 99016  "
13585,"serviced mrh accum using hsu 204 (class 2) iaw gai-000. hyd side high green, nitrogen 1450 psi, oat 18 degree celcius. all checks good area fod free and secure. a/c time last serviced 807.1 and a/c time now: 819.8.  "
22486,removed and replace red pitchlock hardware iaw 150-300. refer to jcn: qg0241577 for blade fold op-check. area secure and fod free.
7616,removed and replaced upper bolt on forward scissor iaw a1-h60ra-150-300. torqued bolts to 83 ft/lbs. and cottered keyed. area secure and fod free at the time of inspection. pema 14925  
11424,removed and replaced mrh accumulator assy iaw 150-300. bled and serviced mrh accum iaw gai-000. hyd side: 2nd green. n2 side: 1500 psi. oat: 27¿c. flt hrs: 3734.7. used hsu: 296. used nan-4b: 310. area secured and fod free.  
22827,removed and replaced blue inboard damper bearing iaw 150-300. refer to jcn: q72267571 for accumulator servicing. area secure and fod free.  
18478,"adjusted red pcr + 11 clicks, blue pcr - 11 clicks and yellow pcr + 13 clicks iaw a1-h60rs-vib-200. area secure and fod free."
16896,inspected blue mrh spindle shaft zip tie iaw 150-300. tightened zip ties secure to shank.  area secure and fod free at time of inspection.  
1119,removed and replace r/h inbrd main landing gear tire iaw sss3240 apaf ataf aff
16996,serviced mrh accumulator iaw a1-h60ra-gai-000. hyd side middle of high green. nitrogen psi 1700. ambient temp 27 degrees celcius. acft time is 1675.9. area clean and fod free at time of inspection.  
14925,"duplicate maf, refer to jcn: by0010163  "
8298,"serviced mrh accumulator to 1600psi, and 2nd green iaw a1-h60ra-gai-000. area clean and fod free. ambient temp: 30 degrees celcius, a/c hours: 23.9"
6316,"serviced main rotor head accumulator iaw gai-000. hyd level high green, n2 1600 psi, oat 23 c, flight hours since last serviced 15.2. area secure and fod free.  "
22824,added 185 grams to quadrant four and 104 grams to quadrant one iaw vib-200. area secure and fod free at time of inspection  
6096,"mrh serviced to 2nd green, 1500 psi at 30 degrees celcius with 2154.3 flight hours iaw a1-h60ra-gai-000. area secure and fod free."
23802,removed and replaced aft scissor assembly iaw 150-300. area fod free and secure.  
6996,"serviced mrh accumulator iaw gai-000. hyd at yellow, nitrogen at 1500 psi, and oat at 14 degrees celsius. a/c flight hours at 184.5. checks good.area secure and fod free.  "
10535,serviced mrh accumulator iaw gai-000. hydraulic side in second green. nitrogen side at 1600 psi. oat 26 degrees celcius. current flight hours 234.1. area corrosion and fod free. pema sn: 6fksa75973.  
23758,removed and reinstalled blade deice distributor iaw 410-300. system works operational iaw 410-200. area secure and corrosion / fod check complete.  
27450,
3504,"serviced main rotor head accumulator in accordance with the a1-h60ra-gai-000. area is clean, secure, and fod free. pema s/n: 8432."
1120,replaced tire iaw sss 3240 ataf apaf aff used pema 67326
3573,duplicate maf . refer to mcn: 1n3028bjcn :b00085a26 for maintenace action  
10661,"adjusted blue pcr down 1 click and adjusted yellow and black pcr both up 1 click, all iaw a1-h60rs-vib-200. area secure and no fod found at time of inspection."
13718,"removed and replaced main rotor head damper assy iaw 150-300. area secure and fod free. refer to mcn: 1gthucr, jcn: q70123234 for 9-13 bolt and nut torque check. time now: 2,273.8.  "
22704,removed and replaced blue hinge iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67609  
17817,"serviced mrh accumulator iaw gai-000. checks good with hyd: high green , nit: 1650 , oat:26 degrees cecius , time now: 960.5 . area secure and fod free at time of completion.  "
23831,inspected mrh accumulator  iaw gai-000.  mrh accumulator is within limits. area clean and fod free. pema s/n; 6fksa75955.  
1771,"removed and replaced rh nlg tire iaw sss 3240. pema 7337. apaf, ataf, aff."
13948,adjusted centering socket. refer to jcn:b00052166.  
11709,mrh accumulatoris within limits at 1350psi and in the middle of first green iaw gai-000. area clean and fod free. pema s/n 8fkka48489
6584,serviced mrh accum to 2nd green iaw gai-000. nitrogen 1650 psi oat 26 degrees celcius. current flight hours: 3441.6. conditional required. area secure and fod free. pema 6cksa67548.
1053,"inspected yellow mrb damage. damge within limits. limit is dents .10 inches deep if less than 1.5 inches long. measures .030. no repair required.  pema sn 8fkka48489.  area secure and fod free. actaion taken c, mal code 780."
20577,recieved damper bearings. parts maf only. no maintenance performed.
12824,serviced mrh accumulator iaw a1-h60ra-gai-000 wp 007 00/ ietms 45192. area secure and fod free.  
5131,torqued black main rotor blade to 285 ft/lbs iaw 150-300. refer to qg0207a35 for installation. area fod free and secure.
1051,troubleshot to bad nose landing gear power steering unit iaw ietms sss 3250. ataf apaf aff.  
19672,performed main rotor head pcr adjustments iaw a1-h60rs-vib-200.  adjusted black pcr +26 clicks and yellow pcr +19 clicks iaw a1-h60rs-vib-200 and safety wired and torqued pcrs iaw a1-h60ra-150-300.  area is secure and fod free.  pema serno: 6fksa75968.  
15340,performed tail ground vibes. all ground vibes are wihin limits iaw vib-200. area is secure and fod free.  
516,work order closed out due to transfer new mcn: 2omcude 
3893,"serviced rh mlg shock strut iaw sss3210. used pema 37360. ataf, apaf, aff"
25807,removed and replaced aft bladefold transducer cannon plug iaw wcr-000. auto blade fold op checks good iaw 150-200. area secure and fod free at time of inspection.  
12660,installed the black main rotor blade for pmi restore iaw a1-h60ra-150-300. area fod free and secured at the time of inspection. black blade s/n: a237-02683  
12960,removed and reinstalled blue blade pitch lock motor iaw a1-h60ra-150-300. automatic blade fold op checks good iaw a1-h60ra-150-200. area fod free and secure. pema: 36637  
754,removed and replaced yellow outboard damper bearing iaw a1-h60ra-150-300. area secure and fod free.  refer to mcn: 1v74fx7 jcn: q31085b00 for installation of mrh dampers.  
9917,removed and reinstalled main rotor head slip ring iaw 410-300 as per maintenance control. area is secure and fod free.  
17746,inspected bim iaw 150-300. opcheck good iaw 150-200. area clean clean and fod check complete. pema 6fksa75973.  
21741,received parts. refer to mcn: 1gti77w//jcn: q70310a00 for installation. area secure and fod free.  
15170,inspected pitchlock liner to be in limits iaw 150-300. area secure and fod free at time of inspection. pema 6007.  
24309,made thge following adjustment to all pcr:+16 iaw vib-200 area secure fod free pema 6fksa76289.  
24159, inspected and measured forward scissor side to side play at 0.004 iaw 150-300. forward scissor play within limits. max limit is 0.008. area secure and fod free. pema 6fksa76301.  
3511,inspected tail rotor boot iaw a1-h60ra-srm-300. hole is out of repairable limits. removed and replaced tail rotor boot iaw a1-h60ra-150-300. area secure and fod free at time of inspection. refer to mcn: 2ln3rpn for 9-13 tq check.  
19779,"serviced mrh accumulator iaw a1-h60ra-gai-000. hyd: yellow, nitrogen: 1500 psi, oat: 22 degrees celcius, a/c time: 274.2 hours. area secure and no fod free at the time of completion. used hsu-245.  "
21990,serviced main rotor head accumulator iaw gai-000. hydraulic side in the second green. nitrogen at 1600 psi. oat 29 degrees celcius. current flight hours 3091.9. no conditional required. area secure and fod free. pema sn: 6fksa75963.  
12060,received bifilar hardware and replaced iaw 150-300. refer to jcn:b00331083 for tq. area secure and fod free.  
14984,"serviced mrh tosecond green at 1450psi iaw a1-h60ra-gai-000. aircraft 1303.9 hrs:, oat: 12 degrees celcius. area secure and fod free at time of inspection. ataf. refer to mcn: 2e4gofq  jcn: am0014428 for a/c conditional inspection.  "
12267,"serviced mrh accumulator iaw gai-000. hyd side yellow, nitrogen side 1550, oat 26c. area secure and fod free. pema 26051. a/c current hours 663.4 refer to mcn 25b7odm for leakage conditional.  "
4060,"cannibalized (buno: 168290 mcn: 23670h0) replaced parking brake transfer valve iaw sss 3240. ran sample using pods method, sys 3 ran a navy class 1. used pema 67330. ataf apaf aff."
360,"serviced mrh hydraulic accumulator iaw gai-000. hsu s/n:237 / navy class ""2"" / pods s/n:00183 / oats: 24c / hyd : high green / nitrogen:1700 / nan4b s/n:pzn729. a/c time now:2163.7. no conditional inspection required.  area secure and fod free."
14749,"serviced mrh accumulator to yellow 1575 psi ambient air temp 23 degrees c iaw a1-h60ra-gai-000 wp 07. aircraft time now 3608.5, area secure and fod free.  "
8685,inspected hole on black tail rotor boot. hole meassured at 2mm. hole is within limits iaw srm-000 holes cannot exceed 1 inch. checks good. area fod free and secured at time of inspection.  
2567,removed and replaced lh main landing gear inboard tire iaw sss 3240. ataf apaf aff.
17469,"removed and replaced yellow spindle iaw a1-h60ra-150-300 utilized pema 4atya83857. area clean, secure, and fod free.  "
10617,romoved and replaced main rotor head red damper assy iaw 150-300. area fod free and secure.  
4897,
22041,removed and replaced fwd and aft scissor bearings iaw 150-300. area fod free and secure.  
16986,serviced mrh accum. iaw gai-000.hyd fluid is navy class 0. hyd. gauge is high green. nitrogen is 1500. oat is 22 c. flight hours: 1842.5 area secure and fod free. refer to mcn: 1h2koly for excessive leakage conditional.  
