,CORRECTIVE ACTION
21957,"serviced mrh accumulator to high green at 1550 iaw gai-000. a/c time is now: 2773.1, oats: 20c. all checks good, area fod free and secure.  "
20499,removed and replaced failed hinge inserts iaw 150-300. area secure and fod free at time of inspection
26178,removed and replaced red elastomeric bearing iaw 150-300. area secured and fod free.
2888,"discrepancy could not be duplicated, lh ob mlg brake assy checks good. verified 0.010 minimum clearnace between all 8 pistons and first carbon plate. pema-2 was used. ataf apaf aff  "
1150,removed and replaced blue main rotor damper outboard bearing iaw a1-h60ra-150-300. area secure and no fod found. refer to mcn: 1v4ysl6 for 9-13 damper bolt tq checks.  
12068,refer to mcn orewhi2 for installation of main rotor head damper assy. area clean and fod check complete.  
9643,main rotor rig check ool iaw 140-300. refer to mcn: 25b7zrt for main rotor rig maf. area secure and fod free. pema: 6127  
14086,performed ground tail vibes. checks good iaw vib-200. area clean and fod free. fcf #00-18-004  
4215,wow sensor disagree due to landing. wow disagree has not posted on previous download. nppc  
1728,removed and replaced r/h nlg tire assy. as required. ataf. apaf. aff. iaw ss 3240.
864,serviced lh mlg shock strut iaw 3210 utilizing pema 99989 ataf apaf aff  
52,removed and replaced black hinge bolt iaw a1-h60ra-150-300. area is secure and fod free.
10233,removed and replaced tail rotor pitch beam nut set screw iaw 150-300. area secure and fod free.
7873,"serviced mrh accumulator iaw gai-000. flight hour 939.5, hyd: 2nd green, nitr: 1500 psi, oat: 22 degrees celsius. area secure and fod free. pema 7879."
1969,removed and replaced blue tail rotor boot iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  refer to jcn: qv0195800 for 9-13 torque check on inboard pcl.  
16152,serviced mrh accumulator iaw 140-300.  hydraulic serviced to high green// nitrogen serviced to 1550 psi //  oat:  27 degrees celsius// cfh:  3157.00  //hsu 281 // pods unit 000168 // navy class 1.  no conditional required.  area fod free and secure.  pema
10796,removed and replaced yellow blade fold motor iaw a1-h60ra-150-300.  area secure and fod free.  pema: 8649.  
16850,re-shimmed black blade top centering socket iaw 150-300. all checks good no movement noted. area fod free and secure.  
13158,removed and reinstalled blue main rotor blade iaw 150-300. area secure and fod free. pema s/n: 6cksa67610.  
24233,"inspected and torqued yellow hinge detent lock arm bolt iaw a1-h60ra-150-300. applied torque stripe, checks good. area fod free and secure.  "
13900,removed and reinstalled main rotor head distributor cap iaw 410-300 for accumulator replacement. area fod free and secure at time of inspection.  
9530,removed and replaced red/yellow tail rotor assembly iaw 150-300. area fod free and secure at time of inspection. refer to jcn: qv0184357 for 9-13 for obrp.  
27957,
7068,serviced mrh accumulator to yellow / 1450 psi at 26 degrees celcius. a/c time now:2721.1 area fod free and secure at time of inspection.
15430,"inspected aft scissor iaw 150-300 verified scissor play. limit is .033, gap is at .025. checks within limits iaw 150-300. area fod free and secure at time of inspection.  "
18974,serviced mrh accum iaw gai-000. hyd at top of the yellow. nitro at 1550 psi and oat is 25 c. a/c time now: 3857.3. pema s/n 26120. area secure and fod free.  
16963,inspected black blade upper centering socket iaw 150-300. no movement noted. checks good. area secure and fod free.  
5049,removed and replaced all lower centering socket hardware iaw a1-h60ra-150-300. area checked fod free and secure.
25839,"bled and service mrh iaw gai-000 to the second green 1500 psi. outside air temp 16c. current flight hour 3774.0. area secure, clean, and fod free, pema 6fksa75963.  "
20351,removed and replaced worn rivets on red/yellow tail rotor tip cap iaw 150-300. area fod free and secure.  
16268,"removed fwd scissor and inspected, it is still within limits, but had to be re-shimmed iaw a1-h60ra-150-300.  area secure and fod check complete.  "
24887,serviced mrh accumulator to yellow and 1500 psi @ 24 degrees c iaw a1-h60ra-gai-000. area secure and fod check completed. ataf.  
26579,removed and replaced black lower pcr nut iaw 150-300. all checks good. area secure and fod check complete at time of inspection.  
1740,removed and replaced left nose landing gear wheel/tire assy iaw sss 3240. pema 76542 was used. ataf apaf aff.
2871,"could not comply with. refer to jcn: gc6107314 mcn: 2o8citm. ataf, apaf, aff.  "
7964,inspected lower black centering socket iaw 150-300. within limits. fod check complete area secured at time of inspection.
24801,"performed full bleed and serviced on mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1575 psi, and oat 16 degrees celcius. a/c hours of 4,005.6. area secure and fod free at the time of completion.  "
213,"removed and replaced l/h mlg door strut iaw sss-3210, apaf, ataf, aff.  "
11759,removed and replaced component blue damper assy iaw 150-300. performed bleed and service of damper iaw gai-000. area clean and fod free. pema-6fksa75955.  
21368,serviced mrh accumulator to 1450psi nitrogen and 2nd green hydraulic side iaw gai-000. ac time 377.7. outside temerature 10c. area secure and fod free  
4552,removed and replaced left hand inboard main landing gear tire iaw sss 3240. ataf apaf aff.  
11852,"deserviced main rotor head accumulator in accordance with a1-h60ra-gai-000. pema 5066. area clean, secure and free of fod.  "
5757,serviced mrh to high green 1700 psi at 29 c. checks good. area fod free and secure at time of inspection.  
25885,"repaired hole in red trb iaw srm-000. hole was within reparable limits @ 1"". limit is 1 1/2"". area fod free and secure at time of inspection.  "
11559,removed and replaced all #6 tip cap screws on all main rotor blade tip caps iaw a1-h60ra-150-300. area secure and fod free.  
14120,installed main rotor blade assy s/n a237-04490 onto red(#1) position iaw a1-h60ra-150-300. area secured and fod check complete. ietm serial # 7jksa27831.
480,inspected and installed black teflon sleeve tiedown straps iaw a1-h60ra-150-300. all checks good. area secure and fod free.
2632,removed and replaced left hand nose landing gear tire iaw sss 3240.
13054,"performed post phase ground vibration analysis iaw a1-h60ca-vib-200. abcd-30, 30.1. all vibes within limits. area secure and fod free.  "
3933,removed and replaced rh nlg tire iaw sss 3240 ataf apaf aff pema 1913
5035,"serviced main rotor head to high green using hsu 262 navy class 2 iaw:a1-h60ra-gai-000, oat 28*c; nitrogen at 1600 psi,  a/c time 3456.3 area secure and fod free at time of inspection."
16061,"serviced main rotor head accumulator  iaw:a1-h60ra-gai-000. hydraulic side low high green, nitrogen 1650 psi @ 29 degrees celcius. a/c time  1052.9hours. area secure and fod free at time of inspection. n2 s/n: 017 // hsu s/n 229  "
16446,re threaded blue blade de ice bracket anchor nut iaw 01-1a-8. checks good. area secure and fod free at time of completion.  
7757,verified red lower centering socket play is within limits iaw 150-300. used pema: 6cksa67512. area secure and fod free.
1255,removed and replaced nlg drag strut hose assy iaw sss 3230
23847,duplicate maf. refer to jcn: q80127a33 for discrepancy.  
20235,verified ground vibes within limits iaw a1-h60rs-vib-200. area secure and fod check complete.  
5010,
23612,performed full bled and serviced mrh accumulator to high green hyd side and 1500 psi nitrogen side iaw a1-h60ra-gai-000/ a/c oat 28 degrees celcius. area fod free and secure. a/c time now 2710.8.  
19870,"performed full bleed and service of main rotor head accumulator iaw gai-000. serviced hys to second green. nitrogen to 1400. ambient temp 11 degrees celsius. current aircraft hours are 3,494.3. area secure and fod free. pema s/n: 6cksa67509.  "
26507,adjusted red pcr +6 clicks. adjusted blue pcr -2 clicks iaw vib-200. torques check good. area secure and fod free. fcf-00-18-006. **00-19-001**  
20895,"serviced mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1600 psi, and oat 16 degrees celcius. a/c hours of 3,296.20. area secure and fod free at the time of completion."
14519,removed and replaced red tail rotor boot iaw 150-300. refer to jcn: b00106487 for 9-13 torque check. area clean and fod free.  
17698,removed and replaced aft scissor iaw 150-300. area secure and fod free. pema 6cksa67596.  
90,"inspected side to side play on aft scissor iaw 150-300. new gap measured at 0.001; limit is 0.008. torqued nut at 83-167 ft lbs. installed cotter pin and torque stripped. completed fod check, area secure at time of inspection.  "
17764,removed and replaced bifilar tapered washer iaw 150-300. area fod free and secure.  
4909,serviced nlg shock strut iaw sss 3220 utilizing pema 99989 ataf apaf aff.
25300,performed ground vibes iaw a1-h60rs-vib-200. all ground vibes are within limits. area is secure and fod free. pema 6fksa76279
21197,removed and replaced lower yellow pcr bearing iaw 150-300. area is clean and fod free. pema s/n:6cksa67609  
17104,inspected blue pitch horn gouge iaw a1-h60ra-150-300. gouge is within limits. area fod free and secure.  
14901,installed new aft rotating scissor assy iaw 150-300.  all checks good. area secure and fod free.  
9078,reinstalled corner fastener on tgb cowling iaw: 110-300. checks good. area secure and fod free at time of completion.  
22882,removed and replaced black main rotor blade iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67609  
1339,adjusted yellow bottom centering socket iaw: a1-h60ra-150-300. area secure and fod free. pema s/n: 48100.  
3048,removed and replaced aft swashplate expandable pin. iaw 150-300. area fod free. pema6cksa67610  
21521,removed and replaced forward and aft scissor bearings iaw 150-300. area secure and fod free.  
8809,removed and replaced tail rotor blade positioner actuator iaw 150-300. op checks good iaw 150-200. area clean and fod free. ietms sn-4lkya08196. refer to mcn- 0rewbpf for application of polyurethane coating.
7522,removed and replaced red tail rotor boot iaw 150-300.  area clean and fod free.
8117,removed all weight previously installed and added 160 grams to quad 2 iaw vib-200. area secure and fod free. pema 6fksa76289.
7829,reshimmed forward scissor iaw a1-h60ra-150-300. all checks good. no movement noted. area secure and fod free at time of inspection. used pema s/n: 6fksa76289.
4102,"serviced mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1500 psi, and oat 12 degrees celcius. a/c hours of 3,587.0 area secure and fod free at the time of completion."
4011,safety wired black blade lockpin puller bolts iaw a1-h60ra-150-300. area checked fod free and secure.  
13928,"painted weights on blue, red, and yellow tail paddles with sempen iaw 01-1a-509. checks good. area secure. fod check complete.  "
27529,
10654,adjusted all pcr's up 12 clicks iaw vib-200. area secure and fod free.  
17590,serviced mrh accumulator to 1400 psi high green at 13 degrees celcius iaw gai-000. all checks good. area fod free and secure. aircraft time now: 2627.3.  
19033,serviced mrh accumulator to 1500 psi high green iaw gai-000.  serviced within limits. hsu sample received navy class 3. oat is 25 degrees celcius. a/c hrs since last serviced 4.5.  refer to jcn:q60255495 for excessive leakge. area secure and fod free at t
17270,"removed tail rotor tip cap and found futher damage to tail paddle, refer to jcn: b20317a51 for corrective action. area secure and fod free. portable electronic maintenance aid serial number; 6fksa76260.  "
204,cannibalized (buno: 167052 mcn: 46sj1nw) removed and replaced yellow main rotor blade iaw a1-h60ra-150-300. all checks good. fod check complete and area secure at time of insepection. ****for 9-13 torque check refer to mcn: 46sj1og****  
672,removed and installed blade fold control panel iaw a1-h60ra-150-300. auto blade fold and spread op check bad iaw a1-h60ra-150-200. part received bad from supply. refer to jcn q60190542 for y code. area fod free and secure at time of inspection.  
3823,serviced mrh accumulator to high green iaw: a1-h60ra-gai-000. nitrogen is at 1650. oat is 15 degrees celcius. aircraft hours now are 235.2. area fod free and secure.  
27352,inspected main rotor head areas iaw: a1-h60rs-vib-200 wp: 012 and 016 as well as 1a-h60ra-150-300. used pema s/n: 48832. area secure and fod free at the time of inspection.
21565,removed and reinstalled all 4 main rotor blades in original positions iaw 150-300 for 546 day insp. area secure and fod free at time of inspection.  
781,received parts from supply. refer to mcn 00jfmrh jcn qg0207a81 for removal and replacement of mrh yellow spindle worn hardware.
19790,removed upper and lower centering sockets iaw 150-300. refer to jcn: q70081a00 for installation. area secure and fod free.  
16101,removed and replaced red tail rotor boot iaw a1-h60ra-150-300. pema s/n: 76762. area clean and fod free. refer to maf jcn: bl0339419 mcn: 1lt08xp for 9-13 torque check.  
26065,"added 71 grams to quadrant 1, 226 grams to quadrant 4 iaw: vib-200. area secure and fod free at time of inspection. maf should be 12/b and weights indexed."
5560,"serviced main rotor head accumulator iaw a1-h60ra-gai-000.  hyd side reads top of first green. nitrogen 1500 psi. oat 12 deg c. current flight hours 1,795.400. area secure and fod free. pema 8556.  "
23073,serviced main rotor head accumulator to 1600 psi and yellow hydraulic side iaw reference gai-000. abient air temperature at 20 degrees celcius. aircraft time now is 2616. checks good. area fod free and secure at time of inspection.  
3080,removed and reinstalled yellow blade iaw a1-h60ra-150-300.  area fod free and secured at time of inspection.  
7947,duplicate maf ref. to mcn: 00jfypl jcn: qg0276554. area secure and fod free at the time of completion.
17081,removed and replaced yellow tail rotor boot iaw a1-h60ra-150-300. area clean and fod free. used pema s/n 6762. refer to mcn:1lt0dy9 jcn: bl0041056 for 9-13 torque check on yellow pcl.  
7025,removed and replaced m/r black tip cap screws iaw 150-300. area fod free and secure at time of inspection.
2271,"serviced main rotor head accumulator to yellow, 1500psi at 22 degrees celcius iaw gai-000. checks good. area fod free and secure at time of completion."
20759,verified torque on upper and lower scissor link nuts then applied torque stripe in accordance with a1-h60ra-150-300. all checks good. area fod free and secure at the time of inspection.  
28042,removed and replaced red damper. damper inboard and outboard bolt torqued to 146ft lbs iaw 150-300. area secure and free of fod. tq wrench s/n: 0610600386 descrepancy should note card d-114.4
20062,"refer to mcn 1xllxr0 for removal and replacement of mrh accumulator. ***correction*** transaction code: 18, action taken code: s  "
18711,removed and replaced yellow blade motor iaw 150-300. op check is good iaw 150-200. refer to mcn: 0rew4oa for yellow blade installation. pema s/n 4lkya06111. area clean and fod free. fcf#05-18-007  
17274,removed and replaced yellow main rotor head elastomeric bearing iaw 150-300. area secure and fod free. pema s/n: 6cksa67610.  
15048,work order closed out due to transfer new mcn: 00je16n 
5826,added shims to gap between aft scissor lower link and aft scissor upper link iaw: a1-h60ra-150-300. play is within limiits. area secure and fod free. pema s/n: 6647.  
16943,serviced main rotor head to high green 1600 psi oat is at 22 degrees celcius iaw gai-000. checks good. area fod free and secure at time of completion.  
18741,installed balance weights for tail rotor. 70 grams in quadrent 2 and 53 grams in quadrent 3 iaw a1-h60ra-vibb-200. area clean secure and fod free. pema 6fksa76277  
9714,performed tail rotor wieght adjustment iaw a1-h60rs-vib-200. added 107 grams to quad 3 and 74 grams to quad 4. area secure and fod free. refer to mcn: 1wdall1 for ground vibs  
7997,"autorotation targeted at 116% nr, actual 119% nr.  adjusted all pcr's +12 clicks to reduce nr by 3% iaw a1-h60rs-vib-200.  area secure and fod free.  pema:  2670."
24594,removed and replaced tip cap iaw 150-300. torqued screws to 30 in lbs. with tq s/n: 0219401474. area fod free and secured at time of inspection.  refer to mcn: 00jf9js for 9-13.  
26063,removed and reinstalled outboard retention plate iaw 150-300.area secure and fod free. pema 6fksa76289.  
4504,removed and replaced lh mlg ob tire iaw sss 3240. ataf apaf aff pema 7381  
11921,inspected lower centering socket iaw 150-300. verified no movement at 15 in lbs.  area secure and fod check complete.  
25529,removed and replacee all droop stop clips in accordance with a1-h60ra-150-300. area fod free and secure at the time of inspection.  
6236,"serviced mrh accumulator to 1600 psi, high green, at 23 degrees celcius iaw gai-000. current a/c time is 2652.0 flight hours. area secure and fod free at time of inspection.  "
3508,"serviced mrh accumulator using hsu s/n 275 iaw gai-000. navy class 0. serviced to second green,1550 psi 26 degrees celcius, at 3268.5 flight hours. refer to mcn:26xjq3x for excessive leakeage of damper conditional. area fod free and secure at time of comp"
2398,inspected blue lockpin puller seal iaw 150-300. cracks will not impose a fod hazard. area fod free and secure at time of inspection.
10936,r emoved and reinstalled mrh distributor iaw 150-300. opchecked 4.0 iaw 150-200 and gai-010. area fod free and secure at time of inspection.  
3887,replaced spherical bearing on aft scissor lower link iaw 150-300. area secure and fod free at time of inspection.
7174,perfomred ground mrh track and balance iaw vib-200. vibes are within limits at 0.15 initial limit is 0.5 ips and track spread is within limits at 2.09 in limit is 6 inches. area secure and fod free.
14656,removed and replaced yellow hub insert iaw a1-h60ra-150-300. area secure and fod free. pema s/n: 3255  
13556,inspected red damper hydraulic line b-nut iaw gai-000. line is not leaking. no further maintenance required. area secure and fod free. pema 8787 utilized.  
9265,removed & replaced red bladefold harness bracket iaw 150-300. fod & security checks completed.  
4995,
2168,inspected mrh aft scissor play. play recorded at .013 in; limit is .033 in. checks good iaw 150-300. area secure and fod free at time of inspection.  
13714,"autorotation measured 121, target 116. adjusted all pcrs +20 clicks to bring autos within limits iaw vib-200. refer to jcn: qg0052281, mcn: 00jcl14 for in-flight vibes. area secure and fod free.  "
4462,rh mlg shock strut deserviced to proper alignment in accordance with sss 1210 pema 30902 cameo version 1.3.10. area fod free.  
8560,removed and replaced forward main rotor swashplate scissor bearing iaw 150-300. torqued nut and installed cotter key. area secure and fod free at time of inspection.
26347,serviced black blade spare to 9.75 psi at 67 degrees fahrenheit iaw 150-300 . area checks good fod free and secure.  
18935,inspected centering socket iaw a1-h60ra-150-300. play is within limits. area secure and fod free. pema s/n: 48100  
13028,"serviced main rotor head accumulator iaw gai-000. hyd at low high green, nitrogen at 1500 psi, oat at 10 degrees celsius. a/c flight hours at 3497.2. checks good. area secure and fod free.  "
3003,"removed and replaced aft scissor spherical bearing iaw a1-h60ra-150-300. area is secure, clean and fod free.  "
3396,trouble shoot down to an internal failure of the rh drag strut. for corrective action refer to mcn: 2omd4pv  jcn: gh5059476. utilized pema 27. ataf. apaf. aff.  
24371,performed tail rotor adjustment iaw vib-200. added 135 grams on q2 and 36 grams on q3. area secured and fod free.  
3998,"no defect. tire damage is within in limits. iaw navair 01-1a-506. ataf, apaf, aff."
25767,serviced low mrh accumulator with hsu 262 navy class 0 iaw a1-h60ra-gai-000. hydraulics is in the yellow with nitrogen @ 1600 psi. oat is 28 degrees celcius. all checks good. area secure and fod free at time of inspection. aircraft time now is 2535.4 hrs.
17307,disconnected main rotor damper quick disconnect to relieve excessive pressure from the hydraulic side of accumulator. verified mrh accumulator is now within limits stated in the gai-000. area secure and free of fod. **reconnected quick disconnect as state
8233,serviced mrh accumulator with hsu 309 navy class i iaw a1-h60ra-gai-000. hyd fluid gauge at top of high green. nitrogen at 1620 psi. oat is 25c and a/c hours now 2702.5. area secure and fod free at time of completion.
1448,"removed and replaced black upper pcr bolt iaw 150-300. refer to phase ""d"" jcn: qg0060a00 for installation.  "
21682,"adjusted yellow pcr down 2 clicks , black pcr down 1 click, and adjusted red trim tab up 6mils and blue blade down 5mils iaw: vib-200. area secure and fod free. refer to mcn: 1v4zp94 for 9-13 on pcr's.  "
1975,"serviced mrh accumulator tp high green nitrogen-1600 psi, oat-26 degrees c iaw a1-h60ra-gai-000 using hsu 262, navy class standard 2.  flight hours-2829.6 area is secure and fod free.  "
4200,removed and replaced blue droop stop iaw 150-300. area secure and fod check complete.
3278,"installed cotter pin, and serviced right main landing gear interface assembly iaw sss 3210   ataf, apaf, aff, pema 78 was used.  "
3033,serviced rh mlg tires iaw sss 1210. used pema 67341. ataf apaf aff  
1270,"serviced mrh accumulator to high green , 1600 psi and oat 22*c iaw a1-h60ra-gai-000. area secure no fod found.  "
1658,"serviced left and right nlg tires, left and right inboard and outboard mlg tires iaw sss1210. all tools accounted for. all parts accounted for. area was cleaned and free of fod. used pema 67339  "
17344,"serviced main rotor head accumulater. all checks good. serviced to 2nd green. iaw a1-h60ra-gai-000 wp 00700. area clean, secure and fod free at time of inspection. pema:6fksa76326  "
4727,replaced rh outboard main landing gear tire iaw sss: 3240 utilizing pema 99989 ataf apaf.aff.  
5244,"serviced mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1500 psi, and oat 20 degrees celcius. a/c hours of 3,462.9. area secure and fod free at the time of completion."
2745,"serviced mrh accumulator to hyd at high green, nitrogen at 1650 psi, using hsu (s/n: 204, navy class 0) iaw gai-000.  oat at 49 degree f. last serviced a/c time: 543.8. a/c time now: 570.2. leak checks good, area fod free and secure.  "
3480,"adjusted black pcr +8 clicks,  yellow pcr +1 click , and blue pcr -2 clicks; added 56 oz to yellow spindle and 78 0z to black spindle iaw a1-h60rs-vib-200 and imds ground station. refer to mcn 26xix3s for 9-13 torque check of pcr jamnuts. area is secure a"
2961,serviced main rotor head accumulator iaw gai-000. area secure and fod free. pema 27569. serviced hyd: second green. nitrogen: 1500 psi  oat: 25.  acft hours 3792.1  
16554,"added shims to red lower centering socket, tightened and torque iaw a1-h60ra-150-300. all checks good. area is secure and fod free. pema 8884"
25492,removed and replaced black spindle iaw 150-300. area secure and fod free. pema: 7603.  
21485,removed and replaced pitch control link iaw 150-300. area clean and fod free. pema 8fkka48075. refer to mcn 00cgii3 jcn by0297a02 for t/r bias and mcn 00cgiql jcn by0298388 for t/r pcl/s torque check.
7870,removed all weight from rotor head iaw a1-h60rs-vib-200. area secure and fod free. pema s/n: 3109
5982,added 150 grams to quadrant 3 and 89 grams to quadrant 2 iaw vib-200. pema: 6fksa76289. area secure and fod free.  
17184,adjusted main rotor head iaw vib-200. adjusted red pcr +1 click and black pcr -2 clicks. area secure and fod free. used pema 1  
11579,removed and replaced yellow blade bim indicator and o-ring iaw 150-300. serviced blade iaw 150-300. conducted leak check. all checks good. area clean and free of fod.  
9761,removed and replaced main rotor head accumulator mounting bolts iaw a1-h60ra-150-300. area secure and fod free.  
6030,inspected blue mrh damper iaw 150-300. leak is within 5 drops per minute limit. checks good. area secure and fod free.  
26823,removed and replaced fwd scissor upper link iaw 150-300. area secure and fod free.  
3178,removed and replaced lh mlg door strut assembly iaw sss 3210. apaf ataf aff.  
7397,"serviced mrh accum iaw gai-000. oat 25c, 1450 psig, hight green. ac time now 3691.3 . area secure and fod free."
22423,removed and replaced yellow damper iaw 150-300 checks good area fod free and secure.
19446,repaired blue tail rotor boot iaw srm-000. area secure and fod free. pema 6fksa76289.  
25174,performed post phase ground vibes iaw a1-h60rs-vib-200. all vibes within limits. area clean secure and fod free. pema sn: 7iksa26239.  
17605,"serviced mrh iaw gai-000 to second green. nitrogen: 1600 psi.  temp: 26 degrees celcius. flight hours: 2,063.300. area secured and free of fod. pema used 6fksa75955.  "
5959,"serviced mrh accumulator iaw ref: gai-000. serviced to high green 1600 psi. oat: 30c. checks god. area secure and fod free at time of completion. pema s/n: 76844, hsu s/n: 243"
14434,removed and replaced yellow blade fold harness and adjusted iaw 150-300. blade fold op checks good iaw gai-010. area fod free and secure.  
18025,repaired black tail rotor blade rubber boot iaw a1-h60ra-srm-000. area secure and fod free.  
8480,"removed and reinstalled tail rotor pitch beam iaw a1-h60ra-150-300 wp 032 00.  area fod fre and secure.  refer to mcn: 26xjasr for 9-13 tq checks on pbr nut, refer to mcn: 26xjasp for 9-13 tq checks on tr pcl's."
27269,
6172,serviced da iaw gai-000
4817,removed and replaced lh nlg tire iaw sss 3240. apaf ataf aff.
14016,"removed and replaced blue/black tail paddle iaw 150-300, pema serno: 6cksa767509. area secure and free of fod at time of inspection."
1616,"removed and replaced upper scissor bolt cotter pin iaw 150-300, area fod free and secure  "
24229,"removed corrosion from top and bottom of black main rotor blade cuff. cleaned, prepped area iaw: 01-1a-509.2. area secure and fod free. refer to jcn: q50309192.  "
224,removed and replaced rh inboard mlg tire iaw sss 3240 ataf apaf aff
542,refer to mcn: 1mpm8un for maintenance corrective action.  
3769,"blue spindle zipties good, tighted zip tie iaw  a1-h60ra-150-300. area fod free and secure at time of inspection.  "
2701,serviced main rotor head iaw gai-000. hydraulic fluid: second green nitrogen: 1600 oat: 11 degrees celcius. a/c hours: 1900.5. pema s/n: 26051. area secure and fod free.  
3474,"replaced lh ob tire iaw sss 3420 utilizing pema 99989. ataf, apaf, aff."
16283,admin removed aft scissor. area secure and fod free.
2620,"tear was under 1""; repaired yellow tail rotor boot iaw a1-h60ra-srm-000. area secure and fod free at time of inspection. used pema s/n: 6cksa67512.  "
21712,"torqued bottom jam nut on yellow pitch control iaw a1-h60rs-150-300, torque check good, torque stripe applied. area secure and fod check complete.  "
4229,"serviced main rotor head accumulator iaw a1-h60ra-gai-000. hyd side reads yellow, nitrogen reads 1625psi and oat reads 26 deg celc. a/c time now 1698.2. all checks good. area secure and fod free at time of inspection."
8466,removed and replaced lower centering socket iaw 150-300. all checks good. area secure and fod free at time of inspection. refer to mcn: 46sjk6x for phase maf.
19809,"removed and replaced aft scissor iaw 150-300, pema serno: 8fkka8559. area secure and no fod found at time of inspection.  "
10505,serviced red blade bim to 10.50 psi at 74 degrees celcius iaw 150-300. area fod free and secure at time of completion.  
19957,inspected red trb boot and found no tear. tail rotor boot within limits iaw srm-000. area secure and fod free.  
2889,refer to maf mcn:2mf086l  jcn: fcc116401 for installation and tq's. tires ordered for pool stock replenishment  
4800,"removed and replaced rh mlg door maintainer strut iaw sss3210. performed jacking cycle iaw sss3200. used pema 76262. ataf, apaf, aff."
469,"inspected black mrb pitch horn bonding wire, no maintenance required checks good iaw 150-300. completed fod check and area secure at time of inspection.  "
23270,inspected red droop stop iaw 150-300 wp 11. red droop stop is within limits iaw 150-300 wp 11. ietms #52811. area secure and fod free.
26517,"performed tail rotor 3.0 bias check iaw a1-h60ra-140-300. tail rotor rig checks good and bias degrees check good. degrees red: 3.0, blue: 2.9, black: 2.9, and yellow: 3.0. adjusted red pcl from 3.4 to 3.0. area secure and fod free. daps serial number: 840"
26736,serviced mrh accumulator iaw gai-000. hydraulic guage is second green. nitrogen pressure is 1600 psi. ambient air temp is 20 degrees celcius. current flight hours is 2587.5. area secure and fod free. pema s/n 2755.  
25215,serviced main rotor head accumulator to low high green 1525 psi at 10 degrees celcius iaw gai-000.  all checks good.  area secure and fod free at time of inspection.  pema sn 76896  
14264,repaired black tail rotor boot iaw srm-000. applied sealant. area secure and  fod free. pema: 6cksa67629  
15545,removed and replaced red spindle droop stop iaw a1-h60ra-150-300.  area secured and fod check complete.  
4479,performed 1-per trouble shooting procedures iaw vib-200. refer to mcn: 00cd5o9 for scissor shimming. all discrepancies completed. area fod free. all secure. pema s/n: 6fksa76012.  
15609,"serviced mrh accumulator iaw gai-000. serviced to yellow and 1550 psi. ambient temp 10 degrees celcuis. a/c hours are 1,703.5. no conditional required. area corrosion and fod free. pema 6cksa67650  "
17961,"serviced mrh accumulator to 2nd green at 1500 psi iaw gai-000. a/c current time at 1464.7. ambient temp at 22 degrees celsius. area secure, clean and fod free. pema 6fksa76370.  "
5103,removed and reinstalled yellow mrh damper iaw 150-300. refer to jcn: qv3212386 for teflon washer sealing. area secure and fod free at time of inspection.
26036,removed and replaced rivet on black paddle tip cap in accordance with srm-000. area secured and fod free upon completion.  
20325,"performed full bleed and service of mrh accumulator iaw gai-000.  hyd: yellow, nitro: 1450 psi, acft hours: 1689.9, ambient temp: 67 deg f.  area secure and fod free.  "
4326,replaced rh nlg tire iaw 3240 ataf apaf aff pema7
12226,serviced main rotor head to 1500 psi yellow at 4 degrees c iaw gai-000. area fod free and secure at time of completion. pema 76896. current flight hours 2473.6  
6788,removed tail rotor pitch beam. iaw: 150-300 pema 5fkya30791 area clean and fod free
2093,replaced tire iaw sss 3240. used pema 67374. ataf apaf aff
10648,removed and replaced red bladefold switches iaw 150-300. adjusted all switches iaw 150-200. bladefold system checks good iaw 150-200. area secure and fod check complete.  
22671,"performed full bleed and service on mrh accumulator iaw: gai-000. hyds high low green, nitrogen 1600 psi @ 23 degrees celsius. ac time now 1791.8 hours . all checks good. area secure and fod free at time of completion."
19589,"serviced mrh accum to 1325 psi yellow oat 9 degrees celcius. a/c time is 2,087 hours. checks good area fod free and secure at time of maintenance.  "
16302,repaired yellow tail rotor boot hole  iaw srm-000. area clean and fod free  
19463,"serviced mrh accum to 1550 psi hyd level yellow at 20 degrees celsius iaw gai-000. checks good. area secured, fod check complete. hsu s/n: 296 n2 s/n: 234  "
719,"removed and reinstalled black blade fold harness iaw 150-300. pema: 4ktya45031, area clean and fod free.  "
12424,serviced fluid low on mrh accumulator iaw gai-000.  area is clean and fod free. hydraulic: 2nd green; nitrogen: 1450 psi; a/c current flight hours: 2739.7; oat: 30 degrees celsius.  
3690,"serviced mrh accumulator to 1550psi nitrogen and 2nd green hydraulic side iaw gai-000. a/c time: 598.5hrs , oat:28celsius. area secure and fod free.  "
1285,replaced lh ob mlg brake iaw sss3240.  
3256,sericed lh mlg lp iaw sss 1210. used pema 67332. ataf apaf aff  
23023,adjusted pcr's - 12 to bring auto rotation to projected target iaw vib-200. area fod free and secure.  
13236,removed and replaced all apper centering sockets iaw a1-h60ra-150-300. area secure and fod free.  
2062,installed tail rotor weights in quadrant 2 (38 grams) and quadrant 3 (58 grams) iaw vib-200. area fod free and secure.  
