,DISCREPANCY
3383,hysol delaminanted on bottom of yellow blade near tip cap.          
20387,remove black mrb for pmi prep rwn
22617,mrh hyd accum on red          
4516,lh nose ldg tire worn beyond limitation          
2500,yellow droop stop spring bolt head warped.          
4400,all 4 blade fold spacers ool.          
2935,mrh accumulator low          
20602,remove and reinstall slipring stove pipe due to phase jcn: qg0178a00
17919,all tail rotor blade tip cap have multipe rivits that are corroded. majority are forward. ccdd: 4 apr 18.  these rivets will have to be replaced.          
2236,lh nlg tire worn.
16340,outboard retention plate corroded
3568,lh nose tire is worn out of limits          
24206,lower pressure plate failed tq checks          
10739,yellow spindle hinge pin is worn ool.          
2252,main rotor head accumulator hydraulic servicing low.
24274,blue damper inboard bearing worn ool
4295,rh nlg tire worn beyond limits
3393,scir change:  25ddk0v.  black blade fold pitch lock switch crushed
27642,all outboard damper teflons need sealant. sldd: 4jun19
14880,black blade upper pcr bolt found scored during 60 hour clamp up check failed inspection          
14956,mrh grounds ool          
16879,autorotations are out of limits.          
16141,mrh inflights out of limits.          
25748,main rotor head hydraulic level low.
27638,fom beanie due to bleed and service of mrh.
3256,red blade droop stop worn ool
3897,corrosion on t/r pcr nuts          
2893,main rotor head ool          
11567,main rotor head accumulator low.          
20956,yellow damper worn out of limits. (card b-101.1)          
27253,main rotor head low.
23954,remove mrh yellow spindle.  re-install w/n/b/p/c          
14784,perform post phase initial ground vibration checks iaw a1-h60ca-mrc-400.          
2310,red blade has crack forming on lower side near tip cap. mrc-100 card# 50          
13192,mrh accum low needs to be serviced          
15290,black droop stop pin assy is broken.  ref: a1-h60ca-mrc-400 card d-119.          
1302,mrh fluid low          
7531,main rotor head extention shaft thread inserts worn ool.          
1544,right hand nose landing gear tire has cross hatching          
216,scir change:  1xsfxjo.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-02691;  pos cd: black          
2884,tr pitch beam star is gouged ool. card ac 70.          
24098,black blade bim bad          
10824,tail balance vibration out of limits.          
23076,"side-to-side play in scissor labeled ""aft.""          "
12023,main rotor head low.          
21691,red hinge insert tq check failed.          
1537,lh nose landing gear tire found worn beyond limits.          
17246,"in-flight vibs hover, 120, 140 and vh out of limits.          "
250,worn blue damper inbd bearing.          
1085,perform post mod  nose landing gear extenstion/retraction system operational check
3636,blue spindle lower blade fold motor liner detached.          
8942,blue mrb lower centering socket loose.
3231,mrh accumulator low.          
16241,hole on yellow tail rotor boot.          
20020,bifilar tapered washer has gouge abcd-23.2.          
26856,"mrh accumulator psi over, reads 1800 psi."
1926,mrh hydraulic fluid low
16313,main rotor head vibes out of limits          
14357,d/a low          
9524,main rotor head accumulator hydraulic side low.          
19377,"autorotation ool target 116,  actual 107.          "
4256,received a main landing gear tire from supply with less than  acceptable tread remaining          
5119,"remove and replace component nomenclature pneumatic reservoir module;  part no: 901-380-501-103;  serno: 420. if cylinder is fully charged, it may remain inservice until discharged.  pmic note 25. dd:06/22/2019"
1737,blk lower pcr bearing ool. abcd-23.6          
25299,cannibalized item: position/station 2 tail rotor blade assy (ddsn: 9091gc75) for modex 700 original mcn: 1wdb1i0          
7900,hole in blue tail rotor boot.          
2584,lh nose tire worn beyond limitations
12523,red blade fold hardware worn. mrc-400 card d-124.          
21049,main rotor head accumulator is low. needle is rested on line bewteen low green/red.          
19972,in flight vibes out of limits          
9011,main rotor head indexer hardware worn.          
5715,mrh yell blade has evidence of hyd leaking from dampner          
1318,perform ground vibrational analysis.          
14562,red trb boot has a hole.
15042,"main rotor head accumulator in the red, psi 0          "
1780,one blue hinge insert is ool.          
742,mrh accumulator is low with indicator in the red. card 47.1          
22407,blue centering sockets need safety wire. ref: a1-h60ca-mrc-400 card # ac-62.9
3801,all six landing gear tire pressures low.          
7603,black pcr lower rod end has movement (not allowed). mrco-400 card bd 87.1. refer to jcn qg0190257 for 9-13 flight hour tq check.
3718,mrh in flight vibes ool. did not shoot auto due to weather.          
27837,worn selant on yellow spindle around pitch horn attaching nuts
4686,remove and reinstall blade fold distributor due to phase jcn: qg0178a00
344,main rotor head accumulator nitrogen side is over serviced.          
4572,remove mrh de-ice distributor to assist w/c 120 in full bleed and service of the mrh. re-install w/d/b/m/c.          
3076,perform jack and cycle and emergency blow down of landing gear for replacement of lgcu and mlg door clevis'          
16370,yellow tail paddle gouge on leading edge.          
1285,yellow main rotor blade hinge insert failed run on torque.
14699,yellow mrh spindle lower centering socket safety wire broken.          
5310,lvdt inop          
6348,main rotor track and balance out of limits          
3693,"remove t/r paddles, tr pitch beam, and outboard retention plate. reinstall w/n/b/m/c.          "
8876,safety wire securing droop stop heater pin broken on black blade. all pieces accounted for.
2015,rh nlg tire worn          
2268,swashplate gouged on the blue pcr lug.  fcf#00-19-006
23489,mrh accum red          
6181,main rotor head hydraulic accumulator is low.
22467,black main rotor damper is leaking.          
2272,main rotor head low
8676,black damper outboard spherical bearing is out of limits
18050,mrh hydraulic low (between red/ 1st green) card 47.1          
2184,right hand outboard mlg tire has excessive wear on outer portion of tire.          
1940,fom t/r pitch beam for inboard retention plate torque checks          
6679,forward scissor shoulder bushing worn.  card abcd-23.5
1311,rh nlg tire worn
13853,black #6 tip cap screw parts          
16754,inflight vibration analysis out of limits          
2782,nose landing gear torque tube is worn beyond limits
2245,mrh hyd accumulator low          
12743,all tip cap screws are worn.
7809,remove mrh distributor to facilitate full bleed and service of mrh accumulator. reinstall when notified by m/c.
587,lh nose langing gear tire is worn
25242,broken safety wire on the brush block.          
22242,blue damper leaking
22270,yellow tip cap delaminated out of limits          
16513,mrh accumulator low
308,"while performing bleed leak and ops check on nlg psu, nose wheel steering actuator f(p).   ***all 4 rvdt codes indicate 32767 which indicate bad nose wheel steering actuator***          "
10512,yellow mrh damper bolt worn ool (card b 101.1)          
2993,nlg torque tube  fitting assembly bolt sheared          
2989,mrh accumulator low          
26388,remove and replace upper #6 screw on mrb tip cap sn: b849-17242 (red).          
1622,left hand inb and outb tires underserviced.          
22632,yellow lower centering socket teflon is worn. card d-119.3          
26492,remove  yellow anti-flap due to matched set.          
8778,remove and reinstall main rotor blades
13258,remove main rotor head due to mgb change.          
25615,main rotor accumulator low
18384,during preflight checks notice uniball made a loud noise          
4759,blue blade poly patch worn through. crack possible.
24745,red pitch lock did not drive in during blade fold. still got 'pitch lock' on blade fold box and blade still folded
9621,pin size hole on black tail rotor boot.          
1185,fwd and aft scissor torque stripe broken          
1348,main rotor head accumulator nitrogen side high          
22102,no power to blade fold system          
4181,aft scissor assy is ool.          
20908,scissor ball bearings ool axial play. abcd 23
3128,fwd scissor upper link worn          
1119,cannibalized item: blue main rotor head damper assy (ddsn: 8165g628) for modex 30 original mcn: 26xilwx
25160,multiple rivots on all four tail rotor tip caps are missing rivot heads.          
25195,perform post wash lubrication iaw a1-h60ra-mrc-350.
20563,main rotor head accum needs to be serviced.
20085,anti flap cam hardware worn on black spindle. card d-121          
26602,black mrb cracked near clear abrasion strip
2291,both bearings on red blade damper ool.  need to replace. card 177.          
22254,main rotor head hyd low. a/c time 941.1
3532,bd-95.1 all mrb leading edges have baremetal. bmdd: 16oct19
20685,all mrh spindle teflon liner zip ties worn. d-119.1          
26069,perform main rotor head pcr adjustment to assist mrh rig. refer to jcn: qv0115151 for mrh rig.          
8898,mrh accu ool          
6095,distinct 1-per at 100-120kts. a/c wobbles back and forth.          
27233,fwd upper scissor link worn beyond limits
24833,mrh accumulator low hyd fluid          
6691,mrh hydraulic fluid level low.          
797,admin intall main rotor blade tip cap assy as match set due to replacement of main rotor blade. bd-95.
1357,lh nose landing gear wheel bearings found damaged.
27887,"cannibalization of item is directed by higher authority, ctr raymond doyle cnaf via email 21 jun 2019 for hsm37 [qy0] repairable ddsn: 9170g623 for aircraft 46 buno 167040   cage: 78286   part #:70358-26004-102"
21721,male and female end of quick disconnect on yellow damper worn.          
19437,red anti-flap stop shims worn.          
5066,remove and replace component nomenclature pneumatic reservoir module;  part no: 901-380-501-103;  serno: 193
20585,mrb lower centering socket safety wire is broken
22472,mrh accum hyd reads red
23350,remove yellow blade blade for pmi induction          
11407,main rotor head low
5121,red spindle lower lockpin bearing worn. card 121
8844,remove and reinstall yellow blade due to blade fold motor replacement
3029,7rb2 strut is out of rig***update*** 7lb2 strut.          
7894,re-install mrb black tip cap assy. w/n/b/m/c
25264,red spindle droop stop ring siezed.          
14043,"blue, black, red main rotor spindle weight block washers not installed. refer to q20084358 for qa fod search.          "
1592,red damper hardware worn.          
15368,black spindle pitch horn shoulder bushings distance out of limits.          
18278,aft scissor bushing worn ool.          
16689,yellow blade anitflap worn -  - for deployment aircraft.
422,rh mlg low pressure gauge is leaking nitrogen          
1137,yellow paddle boot torn. card: 11.12          
13988,blue tail rotor blade boot zip tie loose.          
16919,"main rotor head accumulator in ""red"".          "
16664,install red blade tip cap screws.
943,rh ib main landing gear tire worn beyond limitations.          
1069,main rotor head swashplate uniball is worn beyond limits.          
23294,remove and reinstall tail rotor paddles for inboard retention plate torque checks.          
18759,fwd scissor upper link bushing worn beyond limits. mrc-400 card abcd 23          
16260,cannibalized item: lower blade lockpin assy (ddsn: 8284g735) for modex 704 original mcn: 2ln3nhi          
15145,perform main rotor ground vibes          
708,aft scissor has play.          
1452,in flight vibes ool          
22122,mrh accum low          
21752,scir change:  00jdcrw.  remove and reinstall main rotor distrubutor to facilitate the servicing the the main rotor accumulator.          
2103,rh ob mlg tire valve core leaking ***correction*** rh ob mlg tire wrote up for pool stock replenishment          
13352,all four damper hose assembly corroded          
4221,lh inboard main landing gear tire  has tear in sidewall***update***cut is not on main tread.
378,"nose landing gear down and lock handle will not fully extend ***update: troubleshot down to bad nlg drag strut, mechanical lock not locking.***          "
24982,tail rotor blade indexer broken          
599,emergency extension bottle pressure is low
9605,black blade safety wire broken          
1414,pneumatic reservoir requires servicing post jack and cycle.          
25249,yellow and black lower pcr mount bolts not torque striped          
14696,small hole on yellow tail rotor boot.          
5774,tail vibes ool          
683,perform tail rotor bias check due to phase.          
21055,card abcd-29 . black upper elastomeric pcr rod end bearing worn out of limits.
26110,yellow lower centering socket worn ool. d-119          
25372,forward scissor has side to side play.          
25104,mrh accumulator low          
1397,right hand mlg door strut is excessivly worn at end of tube on door side.          
23903,blue paddle boot has small hole inboard          
19485,mr swashplate expandable pin worn beyond limits          
21119,"black tail paddle has a 1"" gouge on inside 6"" from cuff          "
16011,fwd main rotor swashplate scissor bearing worn mrc-400 card abcd-23.4          
15586,red anti-flap gouged.          
14268,mrh low.
12807,"main rotor head accumulator low, guage reads in red.          "
13016,ac card 62.9 red upper centering socket out of limits
23144,perform mrh functional checks. mrc-400 d-124. adjust blade fold switches as necessary.          
287,rh nose tire has a cut out of limit.          
16176,mrh low          
13840,fwd scissors have up  and down play          
26462,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04408;  pos cd: blue          
6880,main rotor head accumulator fluid level low.
24314,forward scissor right uper link inner bearing worn out of limits. a1-h60ca-mrc-400 abcd-23.5 step:7.          
4201,cannibalized item: landing gear control unit (ddsn: 9101gx13) for modex 11 original mcn: 2si8rj9 cannibalization approved by 4th maw mr. shawn dunn via email on 11apr2019.          
25687,blue pitch control rod upper rod end key lock broken.
2585,hole in black tail rotor boot.          
18119,tail rotor vibes out of limits. as well as tail rotor balance out of limits.          
14198,cannibalized item: fold hinge gear assy (ddsn: 8282gn97) for modex 022 original mcn: 00ce9sy          
5096,blue main rotor blade requires resin repair near tip cap area          
16350,mrh accumulator fluid low
16720,"perform phase b inspection 200 hr inspection  when pulled: a1172.0, when due: a1154.5, next due: a1354.5.          "
20254,remove and replace upper #6 screw on yellow mrb.          
10295,mrh hyd level red
16544,red damper inboard and outboard rod end bearings worn out of limits.
21794,main rotor head accumulator fluid low.          
15769,pitch lock ratchets when driving in or out.          
9966,main rotor head accumulator o.o.l. (red)          
4610,lh nose tire has cut beyond limits          
15855,forward main rotor head scissors have play.          
5450,aft scissor has up and down play.          
3417,upper pressure plate torque stripe broken.          
27841,black main rotor de-ice cable bracket broken
22371,"blue mrb has a crack, on the underside near hub."
2692,rh main landing gear inboard brake pads worn beyond limits. ataf apaf aff          
5514,"autorotation out of limits. target 116.5 , actual 107."
2366,nose landing gear up and lock switch f(p)          
10474,perform tail rotor bias check
18245,saftey wire on black blade pitch lock switch is reversed.
25321,black hinge spacer packing worn. card d-121          
21919,fwd and aft spherical bearing have excessive up and down play
4685,lh outboard mlg tire worn beyond limits.          
25432,loose top centering socket on red blade.          
8309,card 47.1- main rotor head acc is low. reading close to red.
12134,worn torque stripe on lower blue pitch control rod jam nut.          
6078,yellow damper qd cracked.          
2371,mrh accumulator fluid is low.          
303,mrh accumulator low on hydraulic side. at add mark top red.          
21046,mrc-400 card d-115.  yellow damper seal worn out of limits          
7008,tail rotor vibe ool.
20605,mrh ool.
19378,perform tail rotor rig due to removal and replacement of tail rotor pulley . card ac 70.7
7708,main rotor functional checks failed. (card d-124)
11789,tail rotor vibes ool.          
24154,mrh accumulator hyd low          
18897,forward swashplate scissor lower link bolt gouged ool.
20965,lockpin assy hw worn mrc-400 card d121.4          
12313,mr swashplate scissor bearing play out of limits iaw mrc-400 card abcd 23.5 step 7.          
27055,mrh vibes ool
26269,scir change:  00cfbi0.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-01875;  pos cd: yellow          
27679,mrh accum fluid low
22500,perform post phase ground vibes.          
27452,install yellow main rotor pitch control rod.
14319,pitch beam retaining nut and washer is corroded. ccdd:26apr18          
16780,red tail rotor paddle erosion strip not installed.
6382,scir change:  26xiulg.  corrosion on blue mr cuff bolts. ccdd: 25oct18.  refer to jcn: qy0270075 for conditional inspection.
3048,ldg gear contr sol valve (fcc3) f(p)          
5097,yellow elasto bearing outer race worn out of limits.
431,tail rotor balancing out of limits.          
14157,mrh servicing low          
15160,9-13 torque check on blue damper inboard and outboard nuts failed. retorque inboard and outboard blue damper nuts. refer to mcn: 00jdgk2 for 9-13 torque check.          
11321,final ground vibes ool.          
2920,right hand nose landing gear tire has multiple gauges that exceed limits.          
20056,mrh inflight vibes  and auto rotation out of limits. target value for auto was 117%  actual was 111%          
5053,found glass shard lodged in lh ib main landing gear tire.
2916,rh main landing gear maintainer strut worn beyond limits          
15802,yellow blade droop stop disengaged. ***update*** yellow droop stop leading edge bolt head is sheared and spring is missing. spring bracket is still attacthed to spindle elastomeric bearing. refer to jcn: qg0253582 for fod search.          
41,scir change:  2o8cdc5.  lh nose tire is out of limits.          
25619,black tail rotor blade is at 3.8  and yellow tail rotor blade is at 3.3. both ool.          
3811,nose landing gear shock strut requires servicing.          
13757,blue inner and outer lockpin covers are cracked. ref: a1-h60ca-mrc-400 card d-121
26087,worn setscrews for pitch beam retaing nut.          
12445,yellow elastomeric bearing out of limits          
19452,remove black tail paddle          
6465,yellow pitch lock reduction gear housing inop.          
18930,forward scissor link worn ool
23646,yellow tail rotor boot has a torn.          
11725,black t/r blade errosion tape peeling off.          
1362,rh nose tire was found cut beyond limits          
25071,blue tail rotor blade abrasion strip is disbonded from the blade.
17389,two bolts behind the droop stop on the red blade are missing torque strip.          
5633,remove black main rotor blade for pmi prep.  reinstall when notified.          
16457,fwd scissor side to side play.
3572,pneumatic reservoir module servicing out of limits.
14093,main rotor head accum hyd side: red          
767,main rotor vibrations are out of limits.          
4247,landing gear control fault with nose and right light indicators not illuminated.          
16251,crushed fold limit swich on red blade fold harness.          
2697,main rotor head accumulator pressure low          
24750,red trb abrasion strip missing. refer to jcn: q74141144 for fod inspection          
2898,main rotor head hyd in the red.          
20464,red blade fold hinge cover assy worn card 23.1
1626,rh main landing gear grounding wire is not touching the deck.
23888,black tail rotor boot zip ties loose. bd-91          
2392,lh nose landing gear wheel worn. out of limitations.          
28044,"auto ool.  target is 116.5%,  actual 122%."
23237,main rotor head low.
17056,outboard trailing edge on mrh blue blade tip cap is cracked. card abcd:17          
26626,remove tail rotor pitch beam          
2394,"with landing gear retracted, l mlg door did not fully close.          "
13585,low rotor head. mrc-100 card 47.1.          
22486,red blade pitchlock actuator hardware worn.
7616,forward upper bolt on scissor has gouge marks on shank abcd-23.5 step 7.1          
11424,mrh pressure low          
22827,blue damper inboard bearing fails 30 hr inspection.          
18478,main rotor head ground vibes are out of limits.
16896,blue mrh spindle zip ties loose.          
1119,r/h inboard main landing gear tire is worn beyond limits
16996,main rotor head hydraulic fluid side low.          
14925,while preforming step 47.1 on the turnaround the main rotor head hydraulics are in the red          
8298,main rotor head accumulator low
6316,mrh fluid is low.          
22824,tail rotor vib ool          
6096,mrh low
23802,aft upper scissor assy bushing ool. card abcd-23.6          
6996,mrh accum hyd level red.          
10535,mrh accumulator is low with indicator near the red. card 47.1          
23758,remove main rotor beanie/reinstall when notified by maint control.          
27450,install red main rotor pitch control rod.
3504,main rotor head accumulator low
1120,lh inboard tire cut out of limits.
3573,fwd scissor hardware worn          
10661,main rotor head vibrations out of limits at 140 kts.
13718,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x22101988;  pos cd: black          
22704,blue hinge bushing rotated during fold/spread evolution.          
17817,main rotor head accumulator hydraulic fluid low          
23831,mrh accumulator is low with indicator near red. card 47.1          
1771,rh nose tire worn beyond limits per navair 04-10-506
13948,yellow centering socket loose.          
11709,mrh accumulator hydraulic level needs to be serviced.
6584,mrh servicing low.  accumulator at: 800 psi / hydraulic in red below add mark.  a1-h60ca-mrc-100 card 47.1
1053,yellow main rotor blade made contact with black blade lower weight bracket card 64.2
20577,red damper bearings worn out of limits.
12824,mrh accumulator fluid low.          
5131,perform tq of black main rotor blade bolts.
1051,nose wheel steering actr f(p)          
19672,mrh (grounds) out of limits          
15340,perform tail ground vibes          
516,grease pack main landing gear wheel bearings iaw sss 054d          
3893,rh main landing gear shock strut is low.
25807,auto blade fold inop          
12660,install the black main rotor blade for pmi restore          
12960,blue blade pitch lock motor bad.          
754,yellow outboard damper bearing worn          
9917,"remove mrh slip ring for removal of the mrh accumulator, reinstall when notified by maintenance control.          "
17746,red blade bim indicator failed operational check. card 24.6          
21741,black damper inboard teflon worn. b-101          
15170,while folding yellow pitch lock got stuck. appears pitch lock liner is gouged ool.          
24309,"autorotation ool.  target 117, actual 121.          "
24159,forward scissor lower link has side to side play.          
3511,blue tail rotor boot has hole in it.          
19779,mrh accumulator low          
21990,mrh accumulator is low          
12060,bifilar hardware worn.          
14984,mrh accumulator pressure low. needs to be serviced.          
12267,mrh accum low          
4060,brake pressure degraded significantly throughout the flight.
360,mrh accumulator low
14749,mrh low          
8685,tail rotor black paddle rubber boot has hole in it.          
2567,lh main landing gear inboard tire worn
17469,yellow spindle inner race journal bearing worn out of limit.          
10617,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-02390;  pos cd: red.  component hours: 666.8.  aircraft time now: 1599.3; time due: 1632.5; nlt:1702.5.          
4897,rh mlg door and tip door installed without matching paint.
22041,worn swashplate scissor bearings. abcd-23.5          
16986,mrh accum low          
1075,suspected hydraulic leak from nose landing gear power steering unit pressure line.
8518,ccdd: 31dec18 yellow main rotor blade tip cap rib and weight blocks have moderate surface corrosion.          
15315,yellow main rotor blade tip cap has corrosion coming from drain holes.
18752,main rotor head blue blade titanium abrassion strip delaminating near tip cap.          
21716,main rotor accum fluid low.          
460,black mrh blade fold hinge lock arm bolt has worn torque stripe.          
22043,main rotor head out of limits at 120 140 and vh fcf# 03-19-001          
13116,broken torque stripe on red pcl bonding jumper bolt.          
10010,c/w tr balance adjustments if required.
9722,mrh accumulator hydraulic gauge in the red.          
1860,tr ool          
15736,red mrh damper leaking from cylinder piston.
19781,main rotor ground vibes out of limits          
1354,found lh nose tire worn out of limits
2947,mrh acc low          
1824,outboard bearing on main rotor head red damper assy worn beyond limits.          
25164,worn lower centering socket.          
629,right hand nose landing gear tire is worn through the cross hatch all the way around the tire.
12164,tail rotor ool          
13350,main rotor head nitrogen pressure underserviced.          
23173,red blade spar pressure low.          
19913,main rotor blade yellow tip cap plies seperating.          
12964,yellow spindle hinge bolt worn out of limits.
17804,yellow spindle lockpins have longitudinal gouges that are ool          
7956,broken pcl locking tab on red pcl. tab turned into work center.
2172,blue main rotor blade spar pressure low.
24578,mrh accumulator in the red          
21,main rotor head accumulator low
2733,scir change:  13q5f4f.  l ib mlg brake pad is worn. brake pad indicators no longer showing during preflight inspection.
3648,
3694,lh nlg tire leaking from a hole in the tire.          
12847,main rotor head accumulator hyd side low.          
18779,aft scissor bearing ool  mrc-400 card abcd-23.4          
15381,tail gear box oil  level is overserviced          
4416,rh nose tire replaced as match set          
17677,mrh accummulator hyd side low          
2758,nose landing gear door link lower rod end bearing worn beyond limits          
10528,black tail rotor paddle pivot bearing disbonding ac card 70.3          
693,main rotor blade mount hardware is worn.          
17462,yellow abrasion strip worn          
1589,all landing gear tires are underserviced. mlg tires all at 100 and both nlg tires at 250          
13800,remove and replace red tip cap due to main rotor blade replacement.          
26002,mrh hyd level low          
14285,blue blade pitch lockpin is stuck inside reduction gear assembly
580,both scissor bearings worn out of limits.          
25548,red mr damper bolts worn.  mrc-400 card d-112.2 refer to mcn's 00jefny for installation of damper assy and 00jefww for 9-13 flight torque check.          
21953,forward expandable pin is worn. card bd-84          
14947,"mrh blue blade weight bolt torque stripe worn.""update"" blue hinge lock arm bolt.          "
7471,remove and re-install tb-10 to facilitate replacement of mrh accumulator
21795,remove main rotor blade tip cap (due to nrfi main rotor blade)          
7432,yellow tail rotor blade abrasion strip disbonding.
8299,main rotor head accumulator low.
16825,mrh in flight vibes out of limits          
19400,remove black  main rotor blade tip cap assembly as directed by maintenance control          
12124,perform tail rotor bias rig          
9373,main rotor head fluid level overserviced.          
229,black lockpin cover worn.          
7620,lat expandable pin is worn beyond use          
11819,mrh accumulator hydraulic servicing low.          
26232,yellow harness pitchlock switch routing bracket is broken.          
12303,all 4 mrh bifilar weights h/w failed 9-13 hour tq check on mcn 00jc4md.          
27632,re-install mrh indexer upon acft returning from pres or pmi for restore
5287,main rotor head hydraulic level low          
15565,yellow blade failed to auto fold during folding spread evolution. the other three blades did fold. pitch locks where driven out. blade fold panel did not illuminated pitchlock light          
503,"during ldg checks, parking brake would not set - attempted both left/right pedals, util iso valve and hyd 3 slashed out on cdu. parking brake only set with b/u brake pwr applied.  this occurred 2x in flight.          "
18506,forward scissor spherical bearing ool          
16652,main rotor head accumulator is low. ( in the red)
2002,remove mrh indexer prior to pmi induction          
12849,blue centering socket loose.          
25733,main rotor head low. see mrc-100 step 47.1.          
395,right hand main landing gear door strut rod end broke torque.          
3161,found the left hand nose tire to be worn past limitations
4584,main rotor in-flight vibes ool          
27279,"perform 9-13 retq's on tail rotor pitch beam retaining nut due to removal and reinstallation for phase inspection, not to exceed 25 flight hours on the last flight of the day.  a/c time now: 3900.5, due: 3909.5, nlt: 3913.5, nte: 3925.5. card 70.7"
6471,autorotation ool. target 118 but recieved 121.          
1259,main rotor accumulator hydraulic servicing low.          
19029,mrh low.          
21025,yellow blade de-ice harness droop stop heater cannon plug seized.  d-124          
19846,fom mrh distributor for removal of mrh accumulator          
20379,black tipcap on tail rotor paddle has a rivet head missing. refer to km0063217 for fod inspection          
19265,mrh accum nitrogen low          
21699,blue main rotor blade tip cap screws worn ool. (b-101.1)          
23470,remove yellow mrh damper.  re-install w/n/b/p/c          
9145,remove and replace upper #6 screw on black mrb.          
27636,blue droop stop nuts corroded.
27751,install red main rotor blade for pmi restore iaw a1-h60ra-150-300 when notified by maint control.
14763,red blade detent arm bolt loose          
23871,card 47.1 hyd guage mr damper accumulator in the red          
3707,check lh and rh nlg tires and both lh and rh mlg tires pressures and service as required          
2109,nlg tires underserviced
4164,lh nose tire cut beyond limits          
12704,main rotor head servicing low          
15820,worn rivets on on blue tail rotor tip cap.          
27553,install yellow main rotor blade.
8562,blue mrh damper leaking ool.          
4985,7lb2 door strut broken          
11142,main rotor head accumulator low          
100,black tail rotor boot has a hole on the outside.
2766,perform bleed and service on mrh accumulator.          
27769,install blue blade for pmi prep.
6922,red tail rotor boot not installed. inboard zip tie slipped off.
21319,mrh in red.          
4058,lh nlg tire is worn unevenly.          
17320,black main rotor blade outboard damper bearing bad          
12857,mrh accumulator hydrauliuc fluid low          
22198,red tail rotor boot has multiple tears          
7287,black blade bim saftey wire loose.          
20737,scir change:  00cgdck.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-01058;  pos cd: yellow. dd: 2511.4
16405,perform 3 degree bias on tail rotor.          
26784,blue droop stop worn          
11529,black tail rotor boot zip not installed. blue tail rotor boot zip ties not installed.
1784,mrh accumulator hydraulics is low
25481,excessive vibrations at 140 and vh          
21593,mrh accumulator low.          
11477,remove beanie due to mr rig check. reinstall w/n/b/m/c          
21806,temp use blade fold control panel for troubleshooting on a/c 704.          
23032,swashplate black bushing has corrosion between bushing and swashplate.          
3356,"when resetting afcs cubes, usually cplr/hdg/alt but sometimes more and sometimes less, collective would trim itself down to just shy of an autorotation (significant but not full down) with some left pedal input noted. able to repeat 3 times including afte"
3219,mrh fluid  low          
27135,remove/replace yellow tip cap as matched set.          
1450,main rotor head accumulator fluid level low.          
387,bonded bracket channel on rotor hub assembly for black blade fold harnesses severely corroded and need to be replaced. card d-124.          
14891,mrh ool          
27170,original:  1naixaj.  black main rotor blade bumper padding is worn
18840,red mrh hinge cover cracked.          
9815,black tail rotor boot sealant disbonding          
11280,red blade and blue blade have one bolt that needs to be torqued due to no de-ice harness or bracket being installed.
15981,remove pitch lock to facillitate the removal and replacement of bifilar bushing.  re install when directed by maintenance control.
1434,mrh low          
3388,mrh accum ool
7609,mrh out of limits          
24361,mrh low          
3841,da low needs servicing.
1081,red droop stop heater pin safety wire broken          
5634,(black spindle) droop stop cam worn out of limits. card d-120.2 step 4. no 4.          
6917,"black tail rotor blade ool, found during 3.0 bias"
808,fwd xpin (#1) worn ool.  grooved card bd 84
11158,main rotor head final grounds ool          
13738,mrh accumulator is low with indicator near the red. card 47.1          
6178,service main rotor head accumulator due to main rotor damper replacment.          
19901,black lower centering socket teflon is worn. card d-119.3          
6529,mrh accum hyd  fluid low          
27502,blue centering socket corroded
28013,level 3 28 day. service accumulators when nitrogen becomes available.
18026,tail rotor bias is out of limits          
12584,mrh accumulator hyd side is low.          
4080,yellow elastomeric bearing shims broken.          
35,yellow main rotor damper inboard and outboard bearings worn. (card: b-101.1)
22274,yellow damper inboard bearing worn ool.          
25421,red/yellow tail rotor paddle boot torn.          
3710,lhib tire needs to be changed due to lhob tire blow out          
11915,forward scissor spherical bearing ool. abcd-23.4          
4925,"corroded nlg assy, nlg hardware and nlg bay hardware"
23647,mrh accumulator  hyd side needs hyd fluid.          
2025,aft mrh scissor bearing has play.          
25231,slight tear in red paddle tail rotor boot.
19076,perform ground vibes due to phase a inspection.          
17758,de-ice bracket bonding wire on red mrb above upper centering socket is loose. all pieces accounted for.          
18411,yellow tail rotor abrasion strip worn ool.          
19559,black tail rotor boot has small tear.          
11254,main rotor head vibes out of limits.
8804,aft scissor assy worn ool.          
21016,yellow t/r paddle missing abrasion strip          
22201,tail rotor spring capsule switch out of adjustment.
7931,excessive play on aft scissor. a1-h60ca-mrc-400 card abcd 23.4
26213,mrh yellow blade lockpin has excessive play.          
24595,main rotor head rig check ool.
10516,red main rotor blade damper bearings out of limits. card b101.1          
18644,wire mesh exposed on leading edge of black tip cap.          
24602,scir change:  1h2kr83.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-01863d;  pos cd: blue
15883,red blade fold acctuator would not move in or out in auto. *correction* red blade pitch lock actuator*          
15607,main rotor head accumulator low          
7680,missing black tail rotor blade abrasion strip. refer to fod search mcn: 2ln4jha jcn: q20280561
18809,mrh hydraulic pressure low          
